Code,Activity,developmental,health,daily_living,PaidWork,FormalWork,ChildCare,ElderCare,Householdcare,Selfcare,Leisure,Sleeping,Volunteering,Education
30302,Obtaining medical care for children,,1,,,,1,,,,,,,
30303,Providing medical care to children,,1,,,,1,,,,,,,
30399,Providing medical care to children,,1,,,,1,,,,,,,
30401,Physical care for adults,,1,,,,,1,,,,,,
30402,Looking after adults (as a primary activity),,1,,,,,1,,,,,,
30403,Providing medical care to adults,,1,,,,,1,,,,,,
30404,Obtaining medical and care services for adults,,1,,,,,1,,,,,,
30405,Providing medical care to adults,,1,,,,,1,,,,,,
30499,Providing medical care to adults,,1,,,,,1,,,,,,
30501,Helping adults,,,1,,,,1,,,,,,
30502,Organization & planning for other adults,,,1,,,,1,,,,,,
30503,Picking up/dropping off adults,,,1,,,,1,,,,,,
30504,Waiting associated with helping adults,,,1,,,,1,,,,,,
30599,Helping adults,,,1,,,,1,,,,,,
39999,Helping adults,,,1,,,,1,,,,,,
40101,Physical Care for Children,1,,,,,1,,,,,,,
40102,Reading to Children,1,,,,,1,,,,,,,
40103,Playing with Children,1,,,,,1,,,,,,,
40104,Playing with Children,1,,,,,1,,,,,,,
40105,Playing with Children,1,,,,,1,,,,,,,
40106,Talking to Children,1,,,,,1,,,,,,,
40108,Organization & planning for children,1,,,,,1,,,,,,,
40109,Looking after children,1,,,,,1,,,,,,,
40110,Attending Children's events,1,,,,,1,,,,,,,
40111,Waiting for Children,1,,,,,1,,,,,,,
40112,Picking up/dropping off children,1,,,,,1,,,,,,,
40199,General childcare,1,,,,,1,,,,,,,
40201,Helping with homework,1,,,,,1,,,,,,,
40202,Meetings and school conferences,1,,,,,1,,,,,,,
40203,Home schooling of children,1,,,,,1,,,,,,,
40204,Waiting associated with children's education,1,,,,,1,,,,,,,
40299,General Children's Education,1,,,,,1,,,,,,,
40301,Providing medical care to children,,1,,,,1,,,,,,,
40302,Obtaining medical care for children,,1,,,,1,,,,,,,
40303,Providing medical care to children,,1,,,,1,,,,,,,
40399,Providing medical care to children,,1,,,,1,,,,,,,
40401,Physical care for adults,,1,,,,,1,,,,,,
40402,Looking after adults (as a primary activity),,1,,,,,1,,,,,,
40403,Providing medical care to adults,,1,,,,,1,,,,,,
40404,Obtaining medical and care services for adults,,1,,,,,1,,,,,,
40405,Providing medical care to adults,,1,,,,,1,,,,,,
40499,Providing medical care to adults,,1,,,,,1,,,,,,
40501,General Housework,,,1,,,,1,,,,,,
40502,Lawn and Garden,,,1,,,,1,,,,,,
40503,Animal Care,,,1,,,,1,,,,,,
40504,Vehicle Repair,,,1,,,,1,,,,,,
40505,Household Financial and Orgnaizational Mangement,,,1,,,,1,,,,,,
40506,Household Financial and Orgnaizational Mangement,,,1,,,,1,,,,,,
40507,Picking up/dropping off adults,,,1,,,,1,,,,,,
40508,Waiting associated with helping adults,,,1,,,,1,,,,,,
40599,Helping adults,,,1,,,,1,,,,,,
49999,Helping adults,,,1,,,,1,,,,,,
50101,Formal Work,,,,1,1,,,,,,,,
50102,Formal Work,,,,1,1,,,,,,,,
50103,Formal Work,,,,1,,,,,,,,,
50104,Formal Work,,,,1,,,,,,,,,
50199,Formal Work,,,,1,,,,,,,,,
50201,Socializing/breaks at Work,,,,1,,,,,,1,,,
50202,Socializing/breaks at Work,,,,1,,,,,,,,,
50203,Socializing/breaks at Work,,,,1,,,,,,1,,,
50204,Formal Work,,,,1,,,,,,,,,
50205,Formal Work,,,,1,,,,,,,,,
50299,Formal Work,,,,1,,,,,,,,,
50301,Income generating activities (not formal work),,,,1,,,,,,,,,
50302,Income generating activities (not formal work),,,,1,,,,,,,,,
50303,Income generating activities (not formal work),,,,1,,,,,,,,,
50304,Income generating activities (not formal work),,,,1,,,,,,,,,
50305,Income generating activities (not formal work),,,,1,,,,,,,,,
50399,Income generating activities (not formal work),,,,1,,,,,,,,,
50401,Job searching/interviewing,,,,,,,,,,,,,
50403,Job searching/interviewing,,,,,,,,,,,,,
50404,Job searching/interviewing,,,,,,,,,,,,,
50405,Job searching/interviewing,,,,,,,,,,,,,
50499,Job searching/interviewing,,,,,,,,,,,,,
59999,Formal Work,,,,1,,,,,,,,,
60101,Taking classes,,,,,,,,,,,,,1
60102,Taking classes,,,,,,,,,,,,,1
60103,Taking classes,,,,,,,,,,,,,1
60104,Taking classes,,,,,,,,,,,,,1
60199,Taking classes,,,,,,,,,,,,,1
60201,Extracurricular club activities,,,,,,,,,,,,,1
60202,Extracurricular club activities,,,,,,,,,,,,,1
60203,Extracurricular club activities,,,,,,,,,,,,,1
60204,Extracurricular club activities,,,,,,,,,,,,,1
60299,Extracurricular club activities,,,,,,,,,,,,,1
60301,Homework/at home training,,,,,,,,,,,,,1
60302,Homework/at home training,,,,,,,,,,,,,1
60303,Homework/at home training,,,,,,,,,,,,,1
60399,Homework/at home training,,,,,,,,,,,,,1
60401,Education related administrative activities,,,,,,,,,,,,,1
60402,Education related administrative activities,,,,,,,,,,,,,1
60403,Education related administrative activities,,,,,,,,,,,,,1
60499,Education related administrative activities,,,,,,,,,,,,,1
69999,Taking classes,,,,,,,,,,,,,1
70101,Grocery shopping,,,1,,,,,1,,,,,
70102,Purchasing gas,,,1,,,,,1,,,,,
70103,Purchasing food (not groceries),,,1,,,,,1,,,,,
70104,"Shopping, except groceries, food and gas",,,1,,,,,1,,,,,
70105,Waiting associated with shopping,,,1,,,,,1,,,,,
70199,"Shopping, except groceries, food and gas",,,1,,,,,1,,,,,
70201,"Shopping, except groceries, food and gas",,,1,,,,,1,,,,,
70299,"Shopping, except groceries, food and gas",,,1,,,,,1,,,,,
70301,"Shopping, except groceries, food and gas",,,1,,,,,1,,,,,
70399,"Shopping, except groceries, food and gas",,,1,,,,,1,,,,,
79999,"Shopping, except groceries, food and gas",,,1,,,,,1,,,,,
80101,Using paid childcare services,1,,,,,1,,,,,,,
80102,Using paid childcare services,1,,,,,1,,,,,,,
80199,Using paid childcare services,1,,,,,1,,,,,,,
80201,Banking,,,1,,,,,1,,,,,
80202,Banking,,,1,,,,,1,,,,,
80203,Banking,,,1,,,,,1,,,,,
80299,Banking,,,1,,,,,1,,,,,
80301,Using legal services,,,1,,,,,1,,,,,
80302,Using legal services,,,1,,,,,1,,,,,
80399,Using legal services,,,1,,,,,1,,,,,
80401,Using health and care services outside the home,,1,,,,,,,1,,,,
80402,Using in-home health and care services,,1,,,,,,,1,,,,
80403,Using health and care services outside the home,,1,,,,,,,1,,,,
80499,Using health and care services outside the home,,1,,,,,,,1,,,,
80501,Using personal care services,,1,,,,,,,1,,,,
80502,Using personal care services,,1,,,,,,,1,,,,
80599,Using personal care services,,1,,,,,,,1,,,,
80601,Real Estate Sales,,,1,,,,,1,,,,,
80602,Real Estate Sales,,,1,,,,,1,,,,,
80699,Real Estate Sales,,,1,,,,,1,,,,,
80701,Using veterinary services,,,1,,,,,1,,,,,
80702,Using veterinary services,,,1,,,,,1,,,,,
80799,Using veterinary services,,,1,,,,,1,,,,,
80801,General personal services,,,1,,,,,,1,,,,
80899,General personal services,,,1,,,,,,1,,,,
89999,General personal services,,,1,,,,,,1,,,,
90101,Using interior cleaning services ,,,1,,,,,1,,,,,
90102,Using meal preparation services,,,1,,,,,1,,,,,
90103,Using clothing repair and cleaning services,,,1,,,,,1,,,,,
90104,General personal services,,,1,,,,,1,,,,,
90199,General personal services,,,1,,,,,1,,,,,
90201,Using home maint/repair/décor/construction svcs,,,1,,,,,1,,,,,
90202,Using home maint/repair/décor/construction svcs,,,1,,,,,1,,,,,
90299,Using home maint/repair/décor/construction svcs,,,1,,,,,1,,,,,
90301,Using pet services,,,,,,,,1,,,,,
90302,Using pet services,,,,,,,,1,,,,,
90399,Using pet services,,,,,,,,1,,,,,
90401,Using lawn and garden services,,,1,,,,,1,,,,,
90402,Using lawn and garden services,,,1,,,,,1,,,,,
90499,Using lawn and garden services,,,1,,,,,1,,,,,
90501,Using vehicle maintenance or repair services,,,1,,,,,1,,,,,
90502,Using vehicle maintenance or repair services,,,1,,,,,1,,,,,
90599,Using vehicle maintenance or repair services,,,1,,,,,1,,,,,
99999,Using Home Services,,,1,,,,,1,,,,,
100101,Using police and fire services,,,1,,,,,,,,,,
100102,Using social services,,,1,,,,,,,,,,
100103,"Obtaining licenses & paying fines, fees, taxes",,,,,,,,,,,,,
100199,"Obtaining licenses & paying fines, fees, taxes",,,,,,,,,,,,,
100201,Civic obligations & participation,,,,,,,,,,,,,
100299,Civic obligations & participation,,,,,,,,,,,,,
100304,Using government services,,,,,,,,,,,,,
100305,Using government services,,,,,,,,,,,,,
100399,Using government services,,,,,,,,,,,,,
100401,Using government services,,,,,,,,,,,,,
100499,Using government services,,,,,,,,,,,,,
109999,Using government services,,,,,,,,,,,,,
110101,Eating and drinking,,,,,,,,,1,,,,
110199,Eating and drinking,,,,,,,,,1,,,,
110201,Eating and drinking,,,,,,,,,1,,,,
110299,Eating and drinking,,,,,,,,,1,,,,
119999,Eating and drinking,,,,,,,,,1,,,,
120101,Socializing and communicating with others,,,,,,,,,1,1,,,
120199,Socializing and communicating with others,,,,,,,,,,1,,,
120201,Attending parties/events,,,,,,,,,,1,,,
120202,Attending parties/events,,,,,,,,,,1,,,
120299,Attending parties/events,,,,,,,,,,1,,,
120301,"Relaxing, thinking ",,,,,,,,,1,1,,,
120302,Tobacco and drug use,,,,,,,,,,1,,,
120303,Television and movies,,,,,,,,,,1,,,
120304,Television and movies,,,,,,,,,,1,,,
120305,Listening to the radio,,,,,,,,,,1,,,
120306,Listening to the radio,,,,,,,,,,1,,,
120307,Playing games,,,,,,,,,,1,,,
120308,Computer use for leisure,,,,,,,,,,1,,,
120309,Hobbies,,,,,,,,,,1,,,
120310,Hobbies,,,,,,,,,,1,,,
120311,Hobbies,,,,,,,,,,1,,,
120312,Reading for fun,,,,,,,,,,1,,,
120313,Writing for fun,,,,,,,,,,1,,,
120399,Hobbies,,,,,,,,,,1,,,
120401,Attending entertainment venues,,,,,,,,,,1,,,
120402,Attending entertainment venues,,,,,,,,,,1,,,
120403,Attending entertainment venues,,,,,,,,,,1,,,
120404,Attending entertainment venues,,,,,,,,,,1,,,
120405,Attending entertainment venues,,,,,,,,,,1,,,
120499,Attending entertainment venues,,,,,,,,,,1,,,
120501,Socializing and communicating with others,,,,,,,,,,1,,,
120502,Attending parties/events,,,,,,,,,,1,,,
120503,"Relaxing, thinking ",,,,,,,,,,1,,,
120504,Hobbies,,,,,,,,,,1,,,
120599,Socializing and communicating with others,,,,,,,,,,1,,,
129999,"Relaxing, thinking ",,,,,,,,,,1,,,
130101,Excercising solo,,,,,,,,,1,1,,,
130102,Playing sports,,,,,,,,,,1,,,
130103,Excercising solo,,,,,,,,,,1,,,
130104,Excercising solo,,,,,,,,,,1,,,
130105,Playing sports,,,,,,,,,,1,,,
130106,Excercising solo,,,,,,,,,,1,,,
130107,Playing sports,,,,,,,,,,1,,,
130108,Playing sports,,,,,,,,,,1,,,
130109,Playing sports,,,,,,,,,,1,,,
130110,Playing sports,,,,,,,,,,1,,,
130111,Playing sports,,,,,,,,,,1,,,
130112,Playing sports,,,,,,,,,,1,,,
130113,Playing sports,,,,,,,,,,1,,,
130114,Playing sports,,,,,,,,,,1,,,
130115,Playing sports,,,,,,,,,,1,,,
130116,Playing sports,,,,,,,,,,1,,,
130117,Playing sports,,,,,,,,,,1,,,
130118,Playing sports,,,,,,,,,,1,,,
130119,Playing sports,,,,,,,,,,1,,,
130120,Playing sports,,,,,,,,,,1,,,
130121,Playing sports,,,,,,,,,,1,,,
130122,Playing sports,,,,,,,,,,1,,,
130123,Playing sports,,,,,,,,,,1,,,
130124,Excercising solo,,,,,,,,,1,1,,,
130125,Playing sports,,,,,,,,,,1,,,
130126,Playing sports,,,,,,,,,,1,,,
130127,Playing sports,,,,,,,,,,1,,,
130128,Excercising solo,,,,,,,,,1,1,,,
130129,Playing sports,,,,,,,,,,1,,,
130130,Playing sports,,,,,,,,,,1,,,
130131,Excercising solo,,,,,,,,,1,1,,,
130132,Playing sports,,,,,,,,,,1,,,
130133,Excercising solo,,,,,,,,,1,1,,,
130134,Excercising solo,,,,,,,,,,1,,,
130135,Playing sports,,,,,,,,,,1,,,
130136,Excercising solo,,,,,,,,,,1,,,
130199,Playing sports,,,,,,,,,,1,,,
130201,Watching sports,,,,,,,,,,1,,,
130202,Watching sports,,,,,,,,,,1,,,
130203,Watching sports,,,,,,,,,,1,,,
130204,Watching sports,,,,,,,,,,1,,,
130205,Watching sports,,,,,,,,,,1,,,
130206,Watching sports,,,,,,,,,,1,,,
130207,Watching sports,,,,,,,,,,1,,,
130208,Watching sports,,,,,,,,,,1,,,
130209,Watching sports,,,,,,,,,,1,,,
130210,Watching sports,,,,,,,,,,1,,,
130211,Watching sports,,,,,,,,,,1,,,
130212,Watching sports,,,,,,,,,,1,,,
130213,Watching sports,,,,,,,,,,1,,,
130214,Watching sports,,,,,,,,,,1,,,
130215,Watching sports,,,,,,,,,,1,,,
130216,Watching sports,,,,,,,,,,1,,,
130217,Watching sports,,,,,,,,,,1,,,
130218,Watching sports,,,,,,,,,,1,,,
130219,Watching sports,,,,,,,,,,1,,,
130220,Watching sports,,,,,,,,,,1,,,
130221,Watching sports,,,,,,,,,,1,,,
130222,Watching sports,,,,,,,,,,1,,,
130223,Watching sports,,,,,,,,,,1,,,
130224,Watching sports,,,,,,,,,,1,,,
130225,Watching sports,,,,,,,,,,1,,,
130226,Watching sports,,,,,,,,,,1,,,
130227,Watching sports,,,,,,,,,,1,,,
130228,Watching sports,,,,,,,,,,1,,,
130229,Watching sports,,,,,,,,,,1,,,
130230,Watching sports,,,,,,,,,,1,,,
130231,Watching sports,,,,,,,,,,1,,,
130232,Watching sports,,,,,,,,,,1,,,
130299,Watching sports,,,,,,,,,,1,,,
130301,Watching sports,,,,,,,,,,1,,,
130302,Watching sports,,,,,,,,,,1,,,
130399,Playing sports,,,,,,,,,,1,,,
130401,Playing sports,,,,,,,,,,1,,,
130402,Playing sports,,,,,,,,,,1,,,
130499,Playing sports,,,,,,,,,,1,,,
139999,Playing sports,,,,,,,,,,1,,,
140101,Religious Observation,,,,,,,,,1,,,,
140102,Religious Observation,,,,,,,,,1,,,,
140103,Religious Observation,,,,,,,,,1,,,,
140104,Religious Observation,,,,,,,,,1,,,,
140105,Religious Observation,,,,,,,,,1,,,,
149999,Religious Observation,,,,,,,,,1,,,,
150101,Computer use,,,,,,,,,,1,,,
150102,Organizing and preparing,,,,,,,,1,1,,,,
150103,Reading other than for fun,,,,,,,,,,1,,,
150104,Telephone calls,,,,,,,,,,,,,
150105,Writing other than for fun,,,,,,,,,,1,,,
150106,Fundraising,,,,,,,,,,,,,
150199,Organizing and preparing,,,,,,,,,,,,,
150201,Volunteering,,,1,,,,,1,,,,1,
150202,Volunteering,,,1,,,,,1,,,,1,
150203,Volunteering,,,1,,,,,1,,,,1,
150204,Volunteering,,,1,,,,,1,,,,1,
150299,Volunteering,,,1,,,,,1,,,,1,
150301,Volunteering,,,1,,,,,1,,,,,
150302,Volunteering,,,1,,,,,1,,,,,
150399,Volunteering,,,1,,,,,1,,,,,
150401,Performing,,,,,,,,,,,,,
150402,Volunteering,,,1,,,,,,,,,1,
150499,Performing,,,,,,,,,,,,,
150501,Attending meetings/conferences,,,,,,,,,,,,,
150599,Attending meetings/conferences,,,,,,,,,,,,,
150601,Public health & safety activities,,,,,,,,,,,,,
150602,Public health & safety activities,,,,,,,,,,,,,
150699,Public health & safety activities,,,,,,,,,,,,,
150701,Volunteering,,,1,,,,,,,,,1,
150799,Volunteering,,,1,,,,,,,,,,
150801,Volunteering,,,1,,,,,,,,,1,
150899,Volunteering,,,1,,,,,,,,,,
159999,Volunteering,,,1,,,,,,,,,1,
160101,Talking on the phone,,,,,,,,,,,,,
160102,Talking on the phone,,,,,,,,,,,,,
160103,Talking on the phone,,,,,,1,,,,,,,
160104,Talking on the phone,,,,,,,,,,,,,
160105,Talking on the phone,,,,,,,,,,,,,
160106,Talking on the phone,,,,,,,,1,,,,,
160107,Talking on the phone,,,,,,1,1,,,,,,
160108,Talking on the phone,,,,,,,,,,,,,
160199,Talking on the phone,,,,,,,,,,,,,
160201,Talking on the phone,,,,,,,,,,,,,
160299,Talking on the phone,,,,,,,,,,,,,
169999,Talking on the phone,,,,,,,,,,,,,
180101,Traveling,,,,,,,,,1,,,,
180199,Traveling,,,,,,,,,1,,,,
180201,Traveling,,,,,,,,1,,,,,
180202,Traveling,,,,,,,,1,,,,,
180203,Traveling,,,,,,,,1,,,,,
180204,Traveling,,,,,,,,1,,,,,
180205,Traveling,,,,,,,,1,,,,,
180206,Traveling,,,,,,,,1,,,,,
180207,Traveling,,,,,,,,1,,,,,
180208,Traveling,,,,,,,,1,,,,,
180209,Traveling,,,,,,,,1,,,,,
180299,Traveling,,,,,,,,1,,,,,
180301,Traveling,,,,,,1,,,,,,,
180302,Traveling,,,,,,1,,,,,,,
180303,Traveling,,,,,,1,,,,,,,
180304,Traveling,,,,,,,1,,,,,,
180305,Traveling,,,,,,,1,,,,,,
180399,Traveling,,,,,,,,1,,,,,
180401,Traveling,,,,,,1,,,,,,,
180402,Traveling,,,,,,1,,,,,,,
180403,Traveling,,,,,,1,,,,,,,
180404,Traveling,,,,,,,1,,,,,,
180405,Traveling,,,,,,,1,,,,,,
180499,Traveling,,,,,,,,1,,,,,
180501,Traveling,,,,1,,,,,,,,,
180502,Traveling,,,,1,,,,,,,,,
180503,Traveling,,,,1,,,,,,,,,
180504,Traveling,,,,,,,,,,,,,
180599,Traveling,,,,1,,,,,,,,,
180601,Traveling,,,,,,,,,,,,,
180602,Traveling,,,,,,,,,,1,,,
180603,Traveling,,,,,,,,,,,,,
180604,Traveling,,,,,,,,,,,,,
180699,Traveling,,,,,,,,,,,,,
180701,Traveling,,,,,,,,,,,,,
180702,Traveling,,,,,,,,,,,,,
180703,Traveling,,,,,,,,,,,,,
180704,Traveling,,,,,,,,,,,,,
180799,Traveling,,,,,,,,,,,,,
180801,Traveling,,,,,,,,,,,,,
180802,Traveling,,,,,,,,,,,,,
180803,Traveling,,,,,,,,,,,,,
180804,Traveling,,,,,,,,,,,,,
180805,Traveling,,,,,,,,,,,,,
180806,Traveling,,,,,,,,,,,,,
180807,Traveling,,,,,,,,,,,,,
180899,Traveling,,,,,,,,,,,,,
180901,Traveling,,,,,,,,,,,,,
180902,Traveling,,,,,,,,,,,,,
180903,Traveling,,,,,,,,,,,,,
180904,Traveling,,,,,,,,,,,,,
180905,Traveling,,,,,,,,,,,,,
180999,Traveling,,,,,,,,,,,,,
181001,Traveling,,,,,,,,,,,,,
181002,Traveling,,,,,,,,,,,,,
181099,Traveling,,,,,,,,,,,,,
181101,Traveling,,,,,,,,,,,,,
181199,Traveling,,,,,,,,,,,,,
181201,Traveling,,,,,,,,,,1,,,
181202,Traveling,,,,,,,,,,1,,,
181203,Traveling,,,,,,,,,,1,,,
181204,Traveling,,,,,,,,,,1,,,
181205,Traveling,,,,,,,,,,1,,,
181299,Traveling,,,,,,,,,,1,,,
181301,Traveling,,,,,,,,,,1,,,
181302,Traveling,,,,,,,,,,1,,,
181399,Traveling,,,,,,,,,,1,,,
181401,Traveling,,,,,,,,,,,,,
181499,Traveling,,,,,,,,,,,,,
181501,Traveling,,,,,,,,,,,,1,
181599,Traveling,,,,,,,,,,,,1,
181601,Traveling,,,,,,,,,,,,,
181699,Traveling,,,,,,,,,,,,,
181801,Traveling,,,,,,,,,,,,,
181899,Traveling,,,,,,,,,,,,,
189999,Traveling,,,,,,,,,,,,,
,Secondary Childcare,1,,,,,,,,,,,,
,Secondary Eldercare,,1,,,,,,,,,,,
