"id","name","care_focus","median_wage","geo"
"dentists-state13","Dentists","health","42500","state13"
"dentists-state12","Dentists","health","50000","state12"
"dentists-state47","Dentists","health","48000","state47"
"dentists-state01","Dentists","health","30000","state01"
"dentists-state28","Dentists","health","32000","state28"
"dentists-state05","Dentists","health","50000","state05"
"dentists-state22","Dentists","health","38000","state22"
"dentists-state40","Dentists","health","31776","state40"
"dentists-state48","Dentists","health","48000","state48"
"dentists-state30","Dentists","health","40000","state30"
"dentists-state16","Dentists","health","34000","state16"
"dentists-state56","Dentists","health","46000","state56"
"dentists-state08","Dentists","health","65000","state08"
"dentists-state35","Dentists","health","40000","state35"
"dentists-state04","Dentists","health","40002","state04"
"dentists-state49","Dentists","health","49000","state49"
"dentists-state32","Dentists","health","55000","state32"
"dentists-state53","Dentists","health","52000","state53"
"dentists-state41","Dentists","health","55000","state41"
"dentists-state06","Dentists","health","45000","state06"
"dentists-state02","Dentists","health","50000","state02"
"dentists-state15","Dentists","health","36000","state15"
"education-administrators-state23","Education Administrators","developmental","68000","state23"
"education-administrators-state33","Education Administrators","developmental","80000","state33"
"education-administrators-state50","Education Administrators","developmental","69000","state50"
"education-administrators-state25","Education Administrators","developmental","85150","state25"
"education-administrators-state44","Education Administrators","developmental","66000","state44"
"education-administrators-state09","Education Administrators","developmental","96000","state09"
"education-administrators-state36","Education Administrators","developmental","81376","state36"
"education-administrators-state34","Education Administrators","developmental","100000","state34"
"education-administrators-state42","Education Administrators","developmental","75000","state42"
"education-administrators-state39","Education Administrators","developmental","70000","state39"
"education-administrators-state18","Education Administrators","developmental","63000","state18"
"education-administrators-state17","Education Administrators","developmental","90000","state17"
"education-administrators-state26","Education Administrators","developmental","75000","state26"
"education-administrators-state55","Education Administrators","developmental","70000","state55"
"education-administrators-state27","Education Administrators","developmental","75000","state27"
"education-administrators-state19","Education Administrators","developmental","65000","state19"
"education-administrators-state29","Education Administrators","developmental","80000","state29"
"education-administrators-state38","Education Administrators","developmental","60000","state38"
"education-administrators-state46","Education Administrators","developmental","50000","state46"
"education-administrators-state31","Education Administrators","developmental","68000","state31"
"education-administrators-state20","Education Administrators","developmental","70000","state20"
"education-administrators-state10","Education Administrators","developmental","60000","state10"
"education-administrators-state24","Education Administrators","developmental","75000","state24"
"education-administrators-state11","Education Administrators","developmental","100000","state11"
"education-administrators-state51","Education Administrators","developmental","80000","state51"
"education-administrators-state54","Education Administrators","developmental","60000","state54"
"education-administrators-state37","Education Administrators","developmental","65000","state37"
"education-administrators-state45","Education Administrators","developmental","70000","state45"
"education-administrators-state13","Education Administrators","developmental","76000","state13"
"education-administrators-state12","Education Administrators","developmental","56000","state12"
"education-administrators-state21","Education Administrators","developmental","64000","state21"
"education-administrators-state47","Education Administrators","developmental","60000","state47"
"education-administrators-state01","Education Administrators","developmental","78000","state01"
"education-administrators-state28","Education Administrators","developmental","73000","state28"
"education-administrators-state05","Education Administrators","developmental","70000","state05"
"education-administrators-state22","Education Administrators","developmental","60000","state22"
"education-administrators-state40","Education Administrators","developmental","69000","state40"
"education-administrators-state48","Education Administrators","developmental","70000","state48"
"education-administrators-state30","Education Administrators","developmental","41000","state30"
"education-administrators-state16","Education Administrators","developmental","65000","state16"
"education-administrators-state56","Education Administrators","developmental","60000","state56"
"education-administrators-state08","Education Administrators","developmental","70000","state08"
"education-administrators-state35","Education Administrators","developmental","80000","state35"
"education-administrators-state04","Education Administrators","developmental","79000","state04"
"education-administrators-state49","Education Administrators","developmental","78000","state49"
"education-administrators-state32","Education Administrators","developmental","75000","state32"
"education-administrators-state53","Education Administrators","developmental","100000","state53"
"education-administrators-state41","Education Administrators","developmental","93000","state41"
"education-administrators-state06","Education Administrators","developmental","90000","state06"
"education-administrators-state02","Education Administrators","developmental","80000","state02"
"education-administrators-state15","Education Administrators","developmental","81000","state15"
"elementary-and-middle-school-teachers-state23","Elementary and Middle School Teachers","developmental","42000","state23"
"elementary-and-middle-school-teachers-state33","Elementary and Middle School Teachers","developmental","52000","state33"
"elementary-and-middle-school-teachers-state50","Elementary and Middle School Teachers","developmental","60000","state50"
"elementary-and-middle-school-teachers-state25","Elementary and Middle School Teachers","developmental","67000","state25"
"elementary-and-middle-school-teachers-state44","Elementary and Middle School Teachers","developmental","72000","state44"
"elementary-and-middle-school-teachers-state09","Elementary and Middle School Teachers","developmental","70000","state09"
"elementary-and-middle-school-teachers-state36","Elementary and Middle School Teachers","developmental","67000","state36"
"elementary-and-middle-school-teachers-state34","Elementary and Middle School Teachers","developmental","65000","state34"
"elementary-and-middle-school-teachers-state42","Elementary and Middle School Teachers","developmental","60000","state42"
"elementary-and-middle-school-teachers-state39","Elementary and Middle School Teachers","developmental","55000","state39"
"elementary-and-middle-school-teachers-state18","Elementary and Middle School Teachers","developmental","51000","state18"
"elementary-and-middle-school-teachers-state17","Elementary and Middle School Teachers","developmental","57000","state17"
"elementary-and-middle-school-teachers-state26","Elementary and Middle School Teachers","developmental","60000","state26"
"elementary-and-middle-school-teachers-state55","Elementary and Middle School Teachers","developmental","47000","state55"
"elementary-and-middle-school-teachers-state27","Elementary and Middle School Teachers","developmental","51200","state27"
"elementary-and-middle-school-teachers-state19","Elementary and Middle School Teachers","developmental","51635","state19"
"elementary-and-middle-school-teachers-state29","Elementary and Middle School Teachers","developmental","42002","state29"
"elementary-and-middle-school-teachers-state38","Elementary and Middle School Teachers","developmental","48250","state38"
"elementary-and-middle-school-teachers-state46","Elementary and Middle School Teachers","developmental","50000","state46"
"elementary-and-middle-school-teachers-state31","Elementary and Middle School Teachers","developmental","50000","state31"
"elementary-and-middle-school-teachers-state20","Elementary and Middle School Teachers","developmental","50000","state20"
"elementary-and-middle-school-teachers-state10","Elementary and Middle School Teachers","developmental","50000","state10"
"elementary-and-middle-school-teachers-state24","Elementary and Middle School Teachers","developmental","55000","state24"
"elementary-and-middle-school-teachers-state11","Elementary and Middle School Teachers","developmental","60000","state11"
"elementary-and-middle-school-teachers-state51","Elementary and Middle School Teachers","developmental","50000","state51"
"elementary-and-middle-school-teachers-state54","Elementary and Middle School Teachers","developmental","45000","state54"
"elementary-and-middle-school-teachers-state37","Elementary and Middle School Teachers","developmental","49000","state37"
"elementary-and-middle-school-teachers-state45","Elementary and Middle School Teachers","developmental","50000","state45"
"elementary-and-middle-school-teachers-state13","Elementary and Middle School Teachers","developmental","54100","state13"
"elementary-and-middle-school-teachers-state12","Elementary and Middle School Teachers","developmental","48000","state12"
"elementary-and-middle-school-teachers-state21","Elementary and Middle School Teachers","developmental","50000","state21"
"elementary-and-middle-school-teachers-state47","Elementary and Middle School Teachers","developmental","52000","state47"
"elementary-and-middle-school-teachers-state01","Elementary and Middle School Teachers","developmental","50000","state01"
"elementary-and-middle-school-teachers-state28","Elementary and Middle School Teachers","developmental","44000","state28"
"elementary-and-middle-school-teachers-state05","Elementary and Middle School Teachers","developmental","50000","state05"
"elementary-and-middle-school-teachers-state22","Elementary and Middle School Teachers","developmental","47000","state22"
"elementary-and-middle-school-teachers-state40","Elementary and Middle School Teachers","developmental","45000","state40"
"elementary-and-middle-school-teachers-state48","Elementary and Middle School Teachers","developmental","55000","state48"
"elementary-and-middle-school-teachers-state30","Elementary and Middle School Teachers","developmental","47000","state30"
"elementary-and-middle-school-teachers-state16","Elementary and Middle School Teachers","developmental","46000","state16"
"elementary-and-middle-school-teachers-state56","Elementary and Middle School Teachers","developmental","54000","state56"
"elementary-and-middle-school-teachers-state08","Elementary and Middle School Teachers","developmental","47000","state08"
"elementary-and-middle-school-teachers-state35","Elementary and Middle School Teachers","developmental","50000","state35"
"elementary-and-middle-school-teachers-state04","Elementary and Middle School Teachers","developmental","50000","state04"
"elementary-and-middle-school-teachers-state49","Elementary and Middle School Teachers","developmental","52019","state49"
"elementary-and-middle-school-teachers-state32","Elementary and Middle School Teachers","developmental","52000","state32"
"elementary-and-middle-school-teachers-state53","Elementary and Middle School Teachers","developmental","68000","state53"
"elementary-and-middle-school-teachers-state41","Elementary and Middle School Teachers","developmental","55000","state41"
"elementary-and-middle-school-teachers-state06","Elementary and Middle School Teachers","developmental","68000","state06"
"elementary-and-middle-school-teachers-state02","Elementary and Middle School Teachers","developmental","63000","state02"
"elementary-and-middle-school-teachers-state15","Elementary and Middle School Teachers","developmental","55000","state15"
"food-managers-state23","Food Managers","daily_living","40000","state23"
"food-managers-state33","Food Managers","daily_living","69000","state33"
"food-managers-state50","Food Managers","daily_living","50000","state50"
"food-managers-state25","Food Managers","daily_living","55000","state25"
"food-managers-state44","Food Managers","daily_living","50000","state44"
"food-managers-state09","Food Managers","daily_living","35000","state09"
"food-managers-state36","Food Managers","daily_living","39000","state36"
"food-managers-state34","Food Managers","daily_living","55000","state34"
"food-managers-state42","Food Managers","daily_living","50000","state42"
"food-managers-state39","Food Managers","daily_living","38000","state39"
"food-managers-state18","Food Managers","daily_living","35000","state18"
"food-managers-state17","Food Managers","daily_living","36000","state17"
"food-managers-state26","Food Managers","daily_living","30000","state26"
"food-managers-state55","Food Managers","daily_living","45000","state55"
"food-managers-state27","Food Managers","daily_living","43000","state27"
"food-managers-state19","Food Managers","daily_living","35000","state19"
"food-managers-state29","Food Managers","daily_living","37000","state29"
"food-managers-state38","Food Managers","daily_living","40000","state38"
"food-managers-state46","Food Managers","daily_living","40000","state46"
"food-managers-state31","Food Managers","daily_living","35000","state31"
"food-managers-state20","Food Managers","daily_living","37000","state20"
"food-managers-state10","Food Managers","daily_living","48001","state10"
"food-managers-state24","Food Managers","daily_living","42000","state24"
"food-managers-state11","Food Managers","daily_living","40000","state11"
"food-managers-state51","Food Managers","daily_living","40000","state51"
"food-managers-state54","Food Managers","daily_living","28800","state54"
"food-managers-state37","Food Managers","daily_living","40000","state37"
"food-managers-state45","Food Managers","daily_living","55000","state45"
"food-managers-state13","Food Managers","daily_living","45000","state13"
"food-managers-state12","Food Managers","daily_living","50000","state12"
"food-managers-state21","Food Managers","daily_living","50000","state21"
"food-managers-state47","Food Managers","daily_living","40000","state47"
"food-managers-state01","Food Managers","daily_living","40000","state01"
"food-managers-state28","Food Managers","daily_living","30000","state28"
"food-managers-state05","Food Managers","daily_living","50000","state05"
"food-managers-state22","Food Managers","daily_living","36000","state22"
"food-managers-state40","Food Managers","daily_living","45000","state40"
"food-managers-state48","Food Managers","daily_living","43000","state48"
"food-managers-state30","Food Managers","daily_living","39000","state30"
"food-managers-state16","Food Managers","daily_living","42000","state16"
"food-managers-state56","Food Managers","daily_living","46000","state56"
"food-managers-state08","Food Managers","daily_living","40000","state08"
"food-managers-state35","Food Managers","daily_living","27000","state35"
"food-managers-state04","Food Managers","daily_living","43110","state04"
"food-managers-state49","Food Managers","daily_living","31680","state49"
"food-managers-state32","Food Managers","daily_living","49500","state32"
"food-managers-state53","Food Managers","daily_living","45000","state53"
"food-managers-state41","Food Managers","daily_living","35000","state41"
"food-managers-state06","Food Managers","daily_living","48100","state06"
"food-managers-state02","Food Managers","daily_living","43000","state02"
"food-managers-state15","Food Managers","daily_living","60000","state15"
"food-preparation-workers-state23","Food Preparation Workers","daily_living","23009","state23"
"food-preparation-workers-state33","Food Preparation Workers","daily_living","14000","state33"
"food-preparation-workers-state50","Food Preparation Workers","daily_living","21000","state50"
"food-preparation-workers-state25","Food Preparation Workers","daily_living","15310","state25"
"food-preparation-workers-state44","Food Preparation Workers","daily_living","24960","state44"
"food-preparation-workers-state09","Food Preparation Workers","daily_living","22000","state09"
"food-preparation-workers-state36","Food Preparation Workers","daily_living","25000","state36"
"food-preparation-workers-state34","Food Preparation Workers","daily_living","26000","state34"
"food-preparation-workers-state42","Food Preparation Workers","daily_living","21000","state42"
"food-preparation-workers-state39","Food Preparation Workers","daily_living","20000","state39"
"food-preparation-workers-state18","Food Preparation Workers","daily_living","19000","state18"
"food-preparation-workers-state17","Food Preparation Workers","daily_living","16000","state17"
"food-preparation-workers-state26","Food Preparation Workers","daily_living","20000","state26"
"food-preparation-workers-state55","Food Preparation Workers","daily_living","21000","state55"
"food-preparation-workers-state27","Food Preparation Workers","daily_living","20000","state27"
"food-preparation-workers-state19","Food Preparation Workers","daily_living","18500","state19"
"food-preparation-workers-state29","Food Preparation Workers","daily_living","17000","state29"
"food-preparation-workers-state38","Food Preparation Workers","daily_living","22000","state38"
"food-preparation-workers-state46","Food Preparation Workers","daily_living","15000","state46"
"food-preparation-workers-state31","Food Preparation Workers","daily_living","18000","state31"
"food-preparation-workers-state20","Food Preparation Workers","daily_living","23000","state20"
"food-preparation-workers-state10","Food Preparation Workers","daily_living","25000","state10"
"food-preparation-workers-state24","Food Preparation Workers","daily_living","21840","state24"
"food-preparation-workers-state11","Food Preparation Workers","daily_living","25000","state11"
"food-preparation-workers-state51","Food Preparation Workers","daily_living","25000","state51"
"food-preparation-workers-state54","Food Preparation Workers","daily_living","19000","state54"
"food-preparation-workers-state37","Food Preparation Workers","daily_living","20000","state37"
"food-preparation-workers-state45","Food Preparation Workers","daily_living","18000","state45"
"food-preparation-workers-state13","Food Preparation Workers","daily_living","15000","state13"
"food-preparation-workers-state12","Food Preparation Workers","daily_living","24000","state12"
"food-preparation-workers-state21","Food Preparation Workers","daily_living","21000","state21"
"food-preparation-workers-state47","Food Preparation Workers","daily_living","20000","state47"
"food-preparation-workers-state01","Food Preparation Workers","daily_living","24000","state01"
"food-preparation-workers-state28","Food Preparation Workers","daily_living","17000","state28"
"food-preparation-workers-state05","Food Preparation Workers","daily_living","20000","state05"
"food-preparation-workers-state22","Food Preparation Workers","daily_living","18000","state22"
"food-preparation-workers-state40","Food Preparation Workers","daily_living","20000","state40"
"food-preparation-workers-state48","Food Preparation Workers","daily_living","20000","state48"
"food-preparation-workers-state30","Food Preparation Workers","daily_living","16000","state30"
"food-preparation-workers-state16","Food Preparation Workers","daily_living","14000","state16"
"food-preparation-workers-state56","Food Preparation Workers","daily_living","20000","state56"
"food-preparation-workers-state08","Food Preparation Workers","daily_living","19916","state08"
"food-preparation-workers-state35","Food Preparation Workers","daily_living","17000","state35"
"food-preparation-workers-state04","Food Preparation Workers","daily_living","21600","state04"
"food-preparation-workers-state49","Food Preparation Workers","daily_living","19000","state49"
"food-preparation-workers-state32","Food Preparation Workers","daily_living","20000","state32"
"food-preparation-workers-state53","Food Preparation Workers","daily_living","23000","state53"
"food-preparation-workers-state41","Food Preparation Workers","daily_living","21000","state41"
"food-preparation-workers-state06","Food Preparation Workers","daily_living","24000","state06"
"food-preparation-workers-state02","Food Preparation Workers","daily_living","25000","state02"
"food-preparation-workers-state15","Food Preparation Workers","daily_living","24000","state15"
"hairdressers-hairstylists-and-cosmetologists-state33","Hairdressers, Hairstylists, and Cosmetologists","daily_living","32000","state33"
"hairdressers-hairstylists-and-cosmetologists-state50","Hairdressers, Hairstylists, and Cosmetologists","daily_living","25000","state50"
"hairdressers-hairstylists-and-cosmetologists-state25","Hairdressers, Hairstylists, and Cosmetologists","daily_living","22000","state25"
"hairdressers-hairstylists-and-cosmetologists-state44","Hairdressers, Hairstylists, and Cosmetologists","daily_living","30000","state44"
"hairdressers-hairstylists-and-cosmetologists-state09","Hairdressers, Hairstylists, and Cosmetologists","daily_living","32000","state09"
"hairdressers-hairstylists-and-cosmetologists-state36","Hairdressers, Hairstylists, and Cosmetologists","daily_living","22000","state36"
"hairdressers-hairstylists-and-cosmetologists-state34","Hairdressers, Hairstylists, and Cosmetologists","daily_living","25000","state34"
"hairdressers-hairstylists-and-cosmetologists-state42","Hairdressers, Hairstylists, and Cosmetologists","daily_living","20000","state42"
"hairdressers-hairstylists-and-cosmetologists-state39","Hairdressers, Hairstylists, and Cosmetologists","daily_living","20000","state39"
"hairdressers-hairstylists-and-cosmetologists-state18","Hairdressers, Hairstylists, and Cosmetologists","daily_living","40000","state18"
"hairdressers-hairstylists-and-cosmetologists-state17","Hairdressers, Hairstylists, and Cosmetologists","daily_living","29000","state17"
"hairdressers-hairstylists-and-cosmetologists-state26","Hairdressers, Hairstylists, and Cosmetologists","daily_living","30000","state26"
"hairdressers-hairstylists-and-cosmetologists-state55","Hairdressers, Hairstylists, and Cosmetologists","daily_living","22880","state55"
"hairdressers-hairstylists-and-cosmetologists-state27","Hairdressers, Hairstylists, and Cosmetologists","daily_living","30000","state27"
"hairdressers-hairstylists-and-cosmetologists-state19","Hairdressers, Hairstylists, and Cosmetologists","daily_living","35000","state19"
"hairdressers-hairstylists-and-cosmetologists-state29","Hairdressers, Hairstylists, and Cosmetologists","daily_living","30000","state29"
"hairdressers-hairstylists-and-cosmetologists-state38","Hairdressers, Hairstylists, and Cosmetologists","daily_living","30000","state38"
"hairdressers-hairstylists-and-cosmetologists-state46","Hairdressers, Hairstylists, and Cosmetologists","daily_living","40000","state46"
"hairdressers-hairstylists-and-cosmetologists-state31","Hairdressers, Hairstylists, and Cosmetologists","daily_living","42000","state31"
"hairdressers-hairstylists-and-cosmetologists-state20","Hairdressers, Hairstylists, and Cosmetologists","daily_living","25000","state20"
"hairdressers-hairstylists-and-cosmetologists-state10","Hairdressers, Hairstylists, and Cosmetologists","daily_living","24000","state10"
"hairdressers-hairstylists-and-cosmetologists-state24","Hairdressers, Hairstylists, and Cosmetologists","daily_living","35000","state24"
"hairdressers-hairstylists-and-cosmetologists-state11","Hairdressers, Hairstylists, and Cosmetologists","daily_living","35000","state11"
"hairdressers-hairstylists-and-cosmetologists-state51","Hairdressers, Hairstylists, and Cosmetologists","daily_living","26000","state51"
"hairdressers-hairstylists-and-cosmetologists-state54","Hairdressers, Hairstylists, and Cosmetologists","daily_living","38000","state54"
"hairdressers-hairstylists-and-cosmetologists-state37","Hairdressers, Hairstylists, and Cosmetologists","daily_living","32000","state37"
"hairdressers-hairstylists-and-cosmetologists-state45","Hairdressers, Hairstylists, and Cosmetologists","daily_living","25000","state45"
