"id","name","care_focus","median_wage","geo_level"
"attending-children-s-events","Attending Children's events","developmental","38000","state56"
"banking","Banking","daily_living","47000","state36"
"banking","Banking","daily_living","40000","state37"
"banking","Banking","daily_living","48180","state27"
"banking","Banking","daily_living","42000","state26"
"banking","Banking","daily_living","45000","state06"
"banking","Banking","daily_living","38600","state39"
"banking","Banking","daily_living","38000","state19"
"banking","Banking","daily_living","40000","state48"
"banking","Banking","daily_living","50000","state46"
"banking","Banking","daily_living","43000","state55"
"banking","Banking","daily_living","50000","state25"
"banking","Banking","daily_living","36000","state40"
"banking","Banking","daily_living","40000","state51"
"banking","Banking","daily_living","41000","state05"
"banking","Banking","daily_living","40000","state12"
"banking","Banking","daily_living","49800","state08"
"banking","Banking","daily_living","45000","state21"
"banking","Banking","daily_living","34000","state22"
"banking","Banking","daily_living","40000","state35"
"banking","Banking","daily_living","45000","state41"
"banking","Banking","daily_living","45000","state34"
"banking","Banking","daily_living","43000","state09"
"banking","Banking","daily_living","45000","state20"
"banking","Banking","daily_living","40000","state54"
"banking","Banking","daily_living","44000","state42"
"banking","Banking","daily_living","44000","state17"
"banking","Banking","daily_living","41000","state13"
"banking","Banking","daily_living","38482","state29"
"banking","Banking","daily_living","36000","state01"
"banking","Banking","daily_living","47000","state24"
"banking","Banking","daily_living","42000","state04"
"banking","Banking","daily_living","39000","state18"
"banking","Banking","daily_living","40000","state45"
"banking","Banking","daily_living","40000","state16"
"banking","Banking","daily_living","49920","state53"
"banking","Banking","daily_living","37500","state47"
"banking","Banking","daily_living","45760","state33"
"banking","Banking","daily_living","35000","state31"
"banking","Banking","daily_living","44600","state49"
"banking","Banking","daily_living","32000","state28"
"banking","Banking","daily_living","38000","state10"
"banking","Banking","daily_living","40000","state30"
"banking","Banking","daily_living","45000","state50"
"banking","Banking","daily_living","37000","state15"
"banking","Banking","daily_living","45000","state32"
"banking","Banking","daily_living","30000","state23"
"banking","Banking","daily_living","40000","state38"
"banking","Banking","daily_living","41000","state56"
"banking","Banking","daily_living","45000","state02"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state36"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state27"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state55"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state18"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state22"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state17"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state51"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state42"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state12"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state26"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state32"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state34"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state48"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state05"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state25"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state13"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state29"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state41"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state53"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state38"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state56"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state21"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state06"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state30"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state09"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state20"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state04"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state33"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state24"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state23"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state16"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state31"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state40"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state37"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state45"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state49"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state39"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state28"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state54"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state50"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state35"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state08"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state47"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state10"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state01"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state19"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state15"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state44"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state02"
"clothing-maitanence","Clothing Maitanence","daily_living","NULL","state46"
"daily-living-travel","Daily Living Travel","daily_living","45000","state25"
"daily-living-travel","Daily Living Travel","daily_living","35000","state48"
"daily-living-travel","Daily Living Travel","daily_living","NULL","state55"
"daily-living-travel","Daily Living Travel","daily_living","30000","state49"
"daily-living-travel","Daily Living Travel","daily_living","3000","state09"
"daily-living-travel","Daily Living Travel","daily_living","41000","state26"
"daily-living-travel","Daily Living Travel","daily_living","45000","state36"
"daily-living-travel","Daily Living Travel","daily_living","20000","state06"
"daily-living-travel","Daily Living Travel","daily_living","NULL","state21"
"daily-living-travel","Daily Living Travel","daily_living","NULL","state51"
"daily-living-travel","Daily Living Travel","daily_living","NULL","state19"
"daily-living-travel","Daily Living Travel","daily_living","40000","state13"
"daily-living-travel","Daily Living Travel","daily_living","30000","state34"
"daily-living-travel","Daily Living Travel","daily_living","19500","state08"
"daily-living-travel","Daily Living Travel","daily_living","NULL","state53"
"daily-living-travel","Daily Living Travel","daily_living","36052","state41"
"daily-living-travel","Daily Living Travel","daily_living","NULL","state31"
"daily-living-travel","Daily Living Travel","daily_living","1500","state39"
"daily-living-travel","Daily Living Travel","daily_living","30000","state24"
"daily-living-travel","Daily Living Travel","daily_living","25000","state47"
"daily-living-travel","Daily Living Travel","daily_living","NULL","state27"
"daily-living-travel","Daily Living Travel","daily_living","25000","state40"
"daily-living-travel","Daily Living Travel","daily_living","40000","state37"
"daily-living-travel","Daily Living Travel","daily_living","NULL","state20"
"daily-living-travel","Daily Living Travel","daily_living","50519","state38"
"daily-living-travel","Daily Living Travel","daily_living","48000","state12"
"daily-living-travel","Daily Living Travel","daily_living","20000","state22"
"daily-living-travel","Daily Living Travel","daily_living","41908","state29"
"daily-living-travel","Daily Living Travel","daily_living","25000","state54"
"daily-living-travel","Daily Living Travel","daily_living","16000","state18"
"daily-living-travel","Daily Living Travel","daily_living","48000","state35"
"daily-living-travel","Daily Living Travel","daily_living","44000","state42"
"daily-living-travel","Daily Living Travel","daily_living","38000","state04"
"daily-living-travel","Daily Living Travel","daily_living","NULL","state28"
"daily-living-travel","Daily Living Travel","daily_living","48000","state32"
"daily-living-travel","Daily Living Travel","daily_living","11395","state05"
"daily-living-travel","Daily Living Travel","daily_living","NULL","state50"
"daily-living-travel","Daily Living Travel","daily_living","NULL","state46"
"daily-living-travel","Daily Living Travel","daily_living","30000","state45"
"daily-living-travel","Daily Living Travel","daily_living","NULL","state01"
"daily-living-travel","Daily Living Travel","daily_living","58000","state10"
"daily-living-travel","Daily Living Travel","daily_living","40000","state17"
"daily-living-travel","Daily Living Travel","daily_living","25602","state44"
"daily-living-travel","Daily Living Travel","daily_living","NULL","state16"
"daily-living-travel","Daily Living Travel","daily_living","40000","state15"
"daily-living-travel","Daily Living Travel","daily_living","NULL","state30"
"daily-living-travel","Daily Living Travel","daily_living","NULL","state23"
"daily-living-travel","Daily Living Travel","daily_living","5190","state02"
"daily-living-travel","Daily Living Travel","daily_living","NULL","state33"
"daily-living-travel","Daily Living Travel","daily_living","16000","state11"
"daily-living-travel","Daily Living Travel","daily_living","35000","state56"
"developmental-travel","Developmental Travel","developmental","NULL","state50"
"developmental-travel","Developmental Travel","developmental","45000","state36"
"developmental-travel","Developmental Travel","developmental","35000","state48"
"developmental-travel","Developmental Travel","developmental","NULL","state19"
"developmental-travel","Developmental Travel","developmental","40000","state13"
"developmental-travel","Developmental Travel","developmental","25000","state47"
"developmental-travel","Developmental Travel","developmental","20000","state06"
"developmental-travel","Developmental Travel","developmental","35000","state56"
"developmental-travel","Developmental Travel","developmental","25000","state40"
"developmental-travel","Developmental Travel","developmental","48000","state12"
"developmental-travel","Developmental Travel","developmental","NULL","state21"
"developmental-travel","Developmental Travel","developmental","NULL","state28"
"developmental-travel","Developmental Travel","developmental","45000","state25"
"developmental-travel","Developmental Travel","developmental","41000","state26"
"developmental-travel","Developmental Travel","developmental","41908","state29"
"developmental-travel","Developmental Travel","developmental","NULL","state27"
"developmental-travel","Developmental Travel","developmental","NULL","state31"
"developmental-travel","Developmental Travel","developmental","NULL","state53"
"developmental-travel","Developmental Travel","developmental","NULL","state55"
"developmental-travel","Developmental Travel","developmental","1500","state39"
"developmental-travel","Developmental Travel","developmental","44000","state42"
"developmental-travel","Developmental Travel","developmental","11395","state05"
"developmental-travel","Developmental Travel","developmental","40000","state37"
"developmental-travel","Developmental Travel","developmental","16000","state18"
"developmental-travel","Developmental Travel","developmental","3000","state09"
"developmental-travel","Developmental Travel","developmental","19500","state08"
"developmental-travel","Developmental Travel","developmental","30000","state45"
"developmental-travel","Developmental Travel","developmental","50519","state38"
"developmental-travel","Developmental Travel","developmental","NULL","state20"
"developmental-travel","Developmental Travel","developmental","30000","state24"
"developmental-travel","Developmental Travel","developmental","36052","state41"
"developmental-travel","Developmental Travel","developmental","NULL","state51"
"developmental-travel","Developmental Travel","developmental","40000","state17"
"developmental-travel","Developmental Travel","developmental","40000","state15"
"developmental-travel","Developmental Travel","developmental","NULL","state33"
"developmental-travel","Developmental Travel","developmental","NULL","state01"
"developmental-travel","Developmental Travel","developmental","30000","state34"
"developmental-travel","Developmental Travel","developmental","NULL","state16"
"developmental-travel","Developmental Travel","developmental","48000","state35"
"developmental-travel","Developmental Travel","developmental","38000","state04"
"developmental-travel","Developmental Travel","developmental","58000","state10"
"developmental-travel","Developmental Travel","developmental","48000","state32"
"developmental-travel","Developmental Travel","developmental","30000","state49"
"developmental-travel","Developmental Travel","developmental","20000","state22"
"developmental-travel","Developmental Travel","developmental","25000","state54"
"developmental-travel","Developmental Travel","developmental","16000","state11"
"developmental-travel","Developmental Travel","developmental","NULL","state23"
"developmental-travel","Developmental Travel","developmental","25602","state44"
"developmental-travel","Developmental Travel","developmental","NULL","state46"
"developmental-travel","Developmental Travel","developmental","NULL","state30"
"developmental-travel","Developmental Travel","developmental","5190","state02"
"exterior-cleaning","Exterior cleaning","daily_living","26000","state48"
"exterior-cleaning","Exterior cleaning","daily_living","25000","state55"
"exterior-cleaning","Exterior cleaning","daily_living","38780","state36"
"exterior-cleaning","Exterior cleaning","daily_living","30000","state50"
"exterior-cleaning","Exterior cleaning","daily_living","32000","state06"
"exterior-cleaning","Exterior cleaning","daily_living","30000","state27"
"exterior-cleaning","Exterior cleaning","daily_living","33000","state56"
"exterior-cleaning","Exterior cleaning","daily_living","25600","state28"
"exterior-cleaning","Exterior cleaning","daily_living","30000","state13"
"exterior-cleaning","Exterior cleaning","daily_living","34000","state35"
"exterior-cleaning","Exterior cleaning","daily_living","28000","state09"
"exterior-cleaning","Exterior cleaning","daily_living","30002","state08"
"exterior-cleaning","Exterior cleaning","daily_living","24000","state37"
"exterior-cleaning","Exterior cleaning","daily_living","50000","state39"
"exterior-cleaning","Exterior cleaning","daily_living","41768","state19"
"exterior-cleaning","Exterior cleaning","daily_living","38000","state32"
"exterior-cleaning","Exterior cleaning","daily_living","35000","state12"
"exterior-cleaning","Exterior cleaning","daily_living","35000","state26"
"exterior-cleaning","Exterior cleaning","daily_living","30000","state04"
"exterior-cleaning","Exterior cleaning","daily_living","30000","state41"
"exterior-cleaning","Exterior cleaning","daily_living","30000","state18"
"exterior-cleaning","Exterior cleaning","daily_living","30000","state05"
"exterior-cleaning","Exterior cleaning","daily_living","32000","state53"
"exterior-cleaning","Exterior cleaning","daily_living","30000","state34"
"exterior-cleaning","Exterior cleaning","daily_living","27040","state01"
"exterior-cleaning","Exterior cleaning","daily_living","26000","state45"
"exterior-cleaning","Exterior cleaning","daily_living","35000","state31"
"exterior-cleaning","Exterior cleaning","daily_living","50000","state25"
"exterior-cleaning","Exterior cleaning","daily_living","30000","state42"
"exterior-cleaning","Exterior cleaning","daily_living","27000","state30"
"exterior-cleaning","Exterior cleaning","daily_living","31200","state17"
"exterior-cleaning","Exterior cleaning","daily_living","35000","state15"
"exterior-cleaning","Exterior cleaning","daily_living","32400","state21"
"exterior-cleaning","Exterior cleaning","daily_living","30000","state49"
"exterior-cleaning","Exterior cleaning","daily_living","33000","state20"
"exterior-cleaning","Exterior cleaning","daily_living","37000","state51"
"exterior-cleaning","Exterior cleaning","daily_living","34800","state33"
"exterior-cleaning","Exterior cleaning","daily_living","36568","state47"
"exterior-cleaning","Exterior cleaning","daily_living","42000","state23"
"exterior-cleaning","Exterior cleaning","daily_living","35000","state44"
"exterior-cleaning","Exterior cleaning","daily_living","27002","state40"
"exterior-cleaning","Exterior cleaning","daily_living","32000","state24"
"exterior-cleaning","Exterior cleaning","daily_living","33500","state29"
"exterior-cleaning","Exterior cleaning","daily_living","30000","state54"
"exterior-cleaning","Exterior cleaning","daily_living","27900","state22"
"exterior-cleaning","Exterior cleaning","daily_living","27000","state16"
"exterior-cleaning","Exterior cleaning","daily_living","30000","state38"
"exterior-cleaning","Exterior cleaning","daily_living","32000","state02"
"exterior-cleaning","Exterior cleaning","daily_living","41000","state46"
"exterior-cleaning","Exterior cleaning","daily_living","30000","state10"
"exterior-cleaning","Exterior cleaning","daily_living","42000","state11"
"food-and-drink-preparation","Food and drink preparation","daily_living","25000","state26"
"food-and-drink-preparation","Food and drink preparation","daily_living","30000","state36"
"food-and-drink-preparation","Food and drink preparation","daily_living","25000","state48"
"food-and-drink-preparation","Food and drink preparation","daily_living","25000","state55"
"food-and-drink-preparation","Food and drink preparation","daily_living","30000","state18"
"food-and-drink-preparation","Food and drink preparation","daily_living","26000","state01"
"food-and-drink-preparation","Food and drink preparation","daily_living","23400","state09"
"food-and-drink-preparation","Food and drink preparation","daily_living","30000","state06"
"food-and-drink-preparation","Food and drink preparation","daily_living","26000","state34"
"food-and-drink-preparation","Food and drink preparation","daily_living","25000","state27"
"food-and-drink-preparation","Food and drink preparation","daily_living","20000","state19"
"food-and-drink-preparation","Food and drink preparation","daily_living","25000","state45"
"food-and-drink-preparation","Food and drink preparation","daily_living","29000","state08"
"food-and-drink-preparation","Food and drink preparation","daily_living","30000","state13"
"food-and-drink-preparation","Food and drink preparation","daily_living","30000","state41"
"food-and-drink-preparation","Food and drink preparation","daily_living","30000","state31"
"food-and-drink-preparation","Food and drink preparation","daily_living","25000","state39"
"food-and-drink-preparation","Food and drink preparation","daily_living","31320","state47"
"food-and-drink-preparation","Food and drink preparation","daily_living","24000","state37"
"food-and-drink-preparation","Food and drink preparation","daily_living","24000","state54"
"food-and-drink-preparation","Food and drink preparation","daily_living","30000","state17"
"food-and-drink-preparation","Food and drink preparation","daily_living","24000","state56"
"food-and-drink-preparation","Food and drink preparation","daily_living","23000","state40"
"food-and-drink-preparation","Food and drink preparation","daily_living","33000","state05"
"food-and-drink-preparation","Food and drink preparation","daily_living","20000","state21"
"food-and-drink-preparation","Food and drink preparation","daily_living","30000","state24"
"food-and-drink-preparation","Food and drink preparation","daily_living","17000","state20"
"food-and-drink-preparation","Food and drink preparation","daily_living","14000","state38"
"food-and-drink-preparation","Food and drink preparation","daily_living","31200","state12"
"food-and-drink-preparation","Food and drink preparation","daily_living","25000","state25"
"food-and-drink-preparation","Food and drink preparation","daily_living","15000","state28"
"food-and-drink-preparation","Food and drink preparation","daily_living","25000","state33"
"food-and-drink-preparation","Food and drink preparation","daily_living","25000","state29"
"food-and-drink-preparation","Food and drink preparation","daily_living","22880","state49"
"food-and-drink-preparation","Food and drink preparation","daily_living","30000","state42"
"food-and-drink-preparation","Food and drink preparation","daily_living","25000","state35"
"food-and-drink-preparation","Food and drink preparation","daily_living","28500","state32"
"food-and-drink-preparation","Food and drink preparation","daily_living","28000","state53"
"food-and-drink-preparation","Food and drink preparation","daily_living","35000","state46"
"food-and-drink-preparation","Food and drink preparation","daily_living","20000","state22"
"food-and-drink-preparation","Food and drink preparation","daily_living","13500","state16"
"food-and-drink-preparation","Food and drink preparation","daily_living","30000","state51"
"food-and-drink-preparation","Food and drink preparation","daily_living","27000","state04"
"food-and-drink-preparation","Food and drink preparation","daily_living","37500","state15"
"food-and-drink-preparation","Food and drink preparation","daily_living","39000","state44"
"food-and-drink-preparation","Food and drink preparation","daily_living","30000","state02"
"food-and-drink-preparation","Food and drink preparation","daily_living","27800","state50"
"food-and-drink-preparation","Food and drink preparation","daily_living","26000","state10"
"food-and-drink-preparation","Food and drink preparation","daily_living","25000","state30"
"food-and-drink-preparation","Food and drink preparation","daily_living","28000","state23"
"food-and-drink-preparation","Food and drink preparation","daily_living","29000","state11"
"general-childcare","General childcare","developmental","13800","state18"
"general-childcare","General childcare","developmental","25000","state48"
"general-childcare","General childcare","developmental","23000","state54"
"general-childcare","General childcare","developmental","25000","state53"
"general-childcare","General childcare","developmental","32000","state51"
"general-childcare","General childcare","developmental","25000","state09"
"general-childcare","General childcare","developmental","20000","state17"
"general-childcare","General childcare","developmental","23700","state01"
"general-childcare","General childcare","developmental","37200","state13"
"general-childcare","General childcare","developmental","35000","state38"
"general-childcare","General childcare","developmental","25000","state47"
"general-childcare","General childcare","developmental","24000","state12"
"general-childcare","General childcare","developmental","16000","state39"
"general-childcare","General childcare","developmental","30000","state42"
"general-childcare","General childcare","developmental","5000","state55"
"general-childcare","General childcare","developmental","16000","state08"
"general-childcare","General childcare","developmental","26000","state36"
"general-childcare","General childcare","developmental","20000","state28"
"general-childcare","General childcare","developmental","7020","state26"
"general-childcare","General childcare","developmental","14000","state27"
"general-childcare","General childcare","developmental","26000","state37"
"general-childcare","General childcare","developmental","12000","state41"
"general-childcare","General childcare","developmental","25000","state06"
"general-childcare","General childcare","developmental","15000","state46"
"general-childcare","General childcare","developmental","12000","state05"
"general-childcare","General childcare","developmental","NULL","state40"
"general-childcare","General childcare","developmental","25000","state24"
"general-childcare","General childcare","developmental","26000","state25"
"general-childcare","General childcare","developmental","NULL","state29"
"general-childcare","General childcare","developmental","14000","state19"
"general-childcare","General childcare","developmental","15000","state32"
"general-children-s-education","General Children's Education","developmental","67000","state36"
