"geo_level","category_id","subcategory_id","care_type","care_focus","provider_attention","provision_interval","population"
"national","gender-parenthood","female-parent","formal","none","active",4208383207.37143,34651174.27
"national","gender-parenthood","female-parent","informal","daily_living","active",8647849288.9714,36044995.9233099
"national","gender-parenthood","female-parent","informal","developmental","active",4247551503.53463,36044995.9233099
"national","gender-parenthood","female-parent","informal","developmental","passive_child",10102122380.6389,36044995.9233099
"national","gender-parenthood","female-parent","informal","health","active",543982628.625674,36044995.9233099
"national","gender-parenthood","female-parent","informal","health","passive_elder",145055165.892524,36044995.9233099
"national","gender-parenthood","female-parent","informal","none","active",30150853910.3173,36044995.9233099
"national","gender-parenthood","male-non-parent","formal","daily_living","active",1626375187.28571,86118943.86
"national","gender-parenthood","male-non-parent","formal","developmental","active",531801007.285714,86118943.86
"national","gender-parenthood","male-non-parent","formal","health","active",742993543.971429,86118943.86
"national","gender-parenthood","male-non-parent","formal","none","active",13143954718.3714,86118943.86
"national","gender-parenthood","male-non-parent","informal","daily_living","active",13897944908.2847,81138207.1970162
"national","gender-parenthood","male-non-parent","informal","developmental","active",479494731.555297,81138207.1970162
"national","gender-parenthood","male-non-parent","informal","developmental","passive_child",593591643.879074,81138207.1970162
"national","gender-parenthood","male-non-parent","informal","health","active",901437306.275426,81138207.1970162
"national","gender-parenthood","male-non-parent","informal","health","passive_elder",769575767.219832,81138207.1970162
"national","gender-parenthood","male-non-parent","informal","none","active",83561597683.6306,81138207.1970162
"national","gender-parenthood","male-parent","formal","daily_living","active",579672269.742857,28742602.84
"national","gender-parenthood","male-parent","formal","developmental","active",355690880.314286,28742602.84
"national","gender-parenthood","male-parent","formal","health","active",531839548.714286,28742602.84
"national","gender-parenthood","male-parent","formal","none","active",7510742307.08571,28742602.84
"national","gender-parenthood","male-parent","informal","daily_living","active",5353730354.59715,32170250.3200538
"national","gender-parenthood","male-parent","informal","developmental","active",2184821237.32803,32170250.3200538
"national","gender-parenthood","male-parent","informal","developmental","passive_child",6624181815.18004,32170250.3200538
"national","gender-parenthood","male-parent","informal","health","active",235861593.275304,32170250.3200538
"national","gender-parenthood","male-parent","informal","health","passive_elder",82376328.2330238,31668336.2419653
"national","gender-parenthood","male-parent","informal","none","active",27623493615.3016,32170250.3200538
"national","gender-race","female-asian","formal","daily_living","active",199733557.8,9319011.65
"national","gender-race","female-asian","formal","developmental","active",141254101.628571,9319011.65
"national","gender-race","female-asian","formal","health","active",304033981.028571,9319011.65
"national","gender-race","female-asian","formal","none","active",1042949927.05714,9319011.65
"national","gender-race","female-asian","informal","daily_living","active",1746230075.28058,7805406.42711717
"national","gender-race","female-asian","informal","developmental","active",398556694.829781,7805406.42711717
"national","gender-race","female-asian","informal","developmental","passive_child",781049393.316924,7805406.42711717
"national","gender-race","female-asian","informal","health","active",77573843.5612905,7805406.42711717
"national","gender-race","female-asian","informal","health","passive_elder",34365702.7648795,7805406.42711717
"national","gender-race","female-asian","informal","none","active",7364788428.87983,7805406.42711717
"national","gender-race","female-black","formal","daily_living","active",364000280.914286,16935401.5
"national","gender-race","female-black","formal","developmental","active",318165505.542857,16935401.5
"national","gender-race","female-black","formal","health","active",741409081.371429,16935401.5
"national","gender-race","female-black","formal","none","active",1717157320.62857,16935401.5
"national","gender-race","female-black","informal","daily_living","active",3520678069.04678,16635579.6716278
"national","gender-race","female-black","informal","developmental","active",556836466.198294,16635579.6716278
"national","gender-race","female-black","informal","developmental","passive_child",1393036718.38696,16635579.6716278
"national","gender-race","female-black","informal","health","active",348374071.548851,16635579.6716278
"national","gender-race","female-black","informal","health","passive_elder",200836711.013302,16635579.6716278
"national","gender-race","female-black","informal","none","active",16282622227.336,16635579.6716278
"national","gender-race","female-hispan","formal","daily_living","active",785542838.485714,23099491.77
"national","gender-race","female-hispan","formal","developmental","active",387490096.457143,23099491.77
"national","gender-race","female-hispan","formal","health","active",614732856.085714,23099491.77
"national","gender-race","female-hispan","formal","none","active",2201869674.34286,23099491.77
"national","gender-race","female-hispan","informal","daily_living","active",5633500642.77293,22072824.5589677
"national","gender-race","female-hispan","informal","developmental","active",1099357184.02359,22072824.5589677
"national","gender-race","female-hispan","informal","developmental","passive_child",3205975575.18844,22072824.5589677
"national","gender-race","female-hispan","informal","health","active",365843425.289076,22072824.5589677
"national","gender-race","female-hispan","informal","health","passive_elder",164428307.211985,22072824.5589677
"national","gender-race","female-hispan","informal","none","active",20340988960.5372,22072824.5589677
"national","gender-race","female-multi","formal","daily_living","active",49784129.4,2251713.5
"national","gender-race","female-multi","formal","developmental","active",44005170.3428571,2251713.5
"national","gender-race","female-multi","formal","health","active",66140084.2285714,2251713.5
"national","gender-race","female-multi","formal","none","active",257845180.885714,2251713.5
"national","gender-race","female-multi","informal","daily_living","active",306453183.726122,1340474.47122176
"national","gender-race","female-multi","informal","developmental","active",60536001.4073698,1340474.47122176
"national","gender-race","female-multi","informal","developmental","passive_child",112293044.797437,1340474.47122176
"national","gender-race","female-multi","informal","health","active",34690198.1304506,1340474.47122176
"national","gender-race","female-multi","informal","health","passive_elder",4441099.29451655,1340474.47122176
"national","gender-race","female-multi","informal","none","active",1276121809.96731,1340474.47122176
"national","gender-race","female-native","formal","daily_living","active",28439252.8285714,1002371.23
"national","gender-race","female-native","formal","developmental","active",16014747.7714286,1002371.23
"national","gender-race","female-native","formal","health","active",28666428.3428571,1002371.23
"national","gender-race","female-native","formal","none","active",96062373.0857143,1002371.23
"national","gender-race","female-native","informal","daily_living","active",147949390.824499,638843.500184295
"national","gender-race","female-native","informal","developmental","active",43562507.4581704,638843.500184295
"national","gender-race","female-native","informal","developmental","passive_child",61557302.8982731,638843.500184295
"national","gender-race","female-native","informal","health","active",13254472.7770616,638843.500184295
"national","gender-race","female-native","informal","health","passive_elder",11971468.6748485,638843.500184295
"national","gender-race","female-native","informal","none","active",611072528.155415,638843.500184295
"national","gender-race","female-white","formal","daily_living","active",1093871039.57143,80187248.54
"national","gender-race","female-white","formal","developmental","active",1794028384.62857,80187248.54
"national","gender-race","female-white","formal","health","active",2549972269.02857,80187248.54
"national","gender-race","female-white","formal","none","active",8016324376.62857,80187248.54
"national","gender-race","female-white","informal","daily_living","active",20080315881.1912,82440482.7491952
"national","gender-race","female-white","informal","developmental","active",3236066167.17078,82440482.7491952
"national","gender-race","female-white","informal","developmental","passive_child",6102338426.81575,82440482.7491952
"national","gender-race","female-white","informal","health","active",1491101382.05649,82440482.7491952
"national","gender-race","female-white","informal","health","passive_elder",1021352977.62979,82440482.7491952
"national","gender-race","female-white","informal","none","active",78599123494.7837,82440482.7491952
"national","gender-race","male-asian","formal","daily_living","active",176105428.457143,8609679.82
"national","gender-race","male-asian","formal","developmental","active",77617859.5714286,8609679.82
"national","gender-race","male-asian","formal","health","active",161316031.8,8609679.82
"national","gender-race","male-asian","formal","none","active",1568969597.82857,8609679.82
"national","gender-race","male-asian","informal","daily_living","active",1179040618.26304,7379970.80143519
"national","gender-race","male-asian","informal","developmental","active",237484910.767013,7379970.80143519
"national","gender-race","male-asian","informal","developmental","passive_child",562231491.465999,7379970.80143519
"national","gender-race","male-asian","informal","health","active",43540723.878816,7379970.80143519
"national","gender-race","male-asian","informal","health","passive_elder",38475989.9898911,7379970.80143519
"national","gender-race","male-asian","informal","none","active",7151868289.0034,7379970.80143519
"national","gender-race","male-black","formal","daily_living","active",342994089.085714,14416631.37
"national","gender-race","male-black","formal","developmental","active",109017908.571429,14416631.37
"national","gender-race","male-black","formal","health","active",173367214.028571,14416631.37
"national","gender-race","male-black","formal","none","active",2285606242.45714,14416631.37
"national","gender-race","male-black","informal","daily_living","active",2110350504.4412,14048188.4339104
"national","gender-race","male-black","informal","developmental","active",210743264.796633,14048188.4339104
"national","gender-race","male-black","informal","developmental","passive_child",628552576.528875,14048188.4339104
"national","gender-race","male-black","informal","health","active",192194160.162746,14048188.4339104
"national","gender-race","male-black","informal","health","passive_elder",156336360.14365,14048188.4339104
"national","gender-race","male-black","informal","none","active",14383076900.8968,14048188.4339104
"national","gender-race","male-hispan","formal","daily_living","active",822723978.342857,23303442.09
"national","gender-race","male-hispan","formal","developmental","active",108065292.428571,23303442.09
"national","gender-race","male-hispan","formal","health","active",179445766.628571,23303442.09
"national","gender-race","male-hispan","formal","none","active",4417565055.51429,23303442.09
"national","gender-race","male-hispan","informal","daily_living","active",3465602334.44281,21788268.4403783
"national","gender-race","male-hispan","informal","developmental","active",456721956.406562,21788268.4403783
"national","gender-race","male-hispan","informal","developmental","passive_child",1697394799.02352,21788268.4403783
"national","gender-race","male-hispan","informal","health","active",138738478.186357,21788268.4403783
"national","gender-race","male-hispan","informal","health","passive_elder",77665115.2249344,21788268.4403783
"national","gender-race","male-hispan","informal","none","active",20921517183.6159,21788268.4403783
"national","gender-race","male-multi","formal","daily_living","active",39580573.0285714,2006920.13
"national","gender-race","male-multi","formal","developmental","active",8192003.14285714,2006920.13
"national","gender-race","male-multi","formal","health","active",25370807.6571429,2006920.13
"national","gender-race","male-multi","formal","none","active",346948294.2,2006920.13
"national","gender-race","male-multi","informal","daily_living","active",259405633.431935,1418587.64035028
"national","gender-race","male-multi","informal","developmental","active",40362649.0054639,1325225.15494443
"national","gender-race","male-multi","informal","developmental","passive_child",83550563.7987926,1418587.64035028
"national","gender-race","male-multi","informal","health","active",18695661.4903464,1418587.64035028
"national","gender-race","male-multi","informal","health","passive_elder",9832667.43330033,972470.881700298
"national","gender-race","male-multi","informal","none","active",1342214637.48425,1418587.64035028
"national","gender-race","male-native","formal","daily_living","active",12912268.2,897600.66
"national","gender-race","male-native","formal","developmental","active",4739556.85714286,814266.92
"national","gender-race","male-native","formal","health","active",6892351.71428571,897600.66
"national","gender-race","male-native","formal","none","active",147465259.285714,897600.66
"national","gender-race","male-native","informal","daily_living","active",71048027.0546191,558028.93228371
"national","gender-race","male-native","informal","developmental","active",8714617.37543968,496031.348741629
"national","gender-race","male-native","informal","developmental","passive_child",38801948.1068183,496031.348741629
"national","gender-race","male-native","informal","health","active",6920676.41518809,558028.93228371
"national","gender-race","male-native","informal","health","passive_elder",1129134.12023433,346871.54389729
"national","gender-race","male-native","informal","none","active",565309135.087305,558028.93228371
"national","gender-race","male-white","formal","daily_living","active",1032443259.34286,77583628.06
"national","gender-race","male-white","formal","developmental","active",657408800.142857,77583628.06
"national","gender-race","male-white","formal","health","active",848393172,77583628.06
"national","gender-race","male-white","formal","none","active",14076435035.4,77583628.06
"national","gender-race","male-white","informal","daily_living","active",14105177912.8063,78545915.5625753
"national","gender-race","male-white","informal","developmental","active",1744687260.34531,78545915.5625753
"national","gender-race","male-white","informal","developmental","passive_child",4342894488.32154,78545915.5625753
"national","gender-race","male-white","informal","health","active",844356828.588113,78545915.5625753
"national","gender-race","male-white","informal","health","passive_elder",656671877.035949,78545915.5625753
"national","gender-race","male-white","informal","none","active",76997427865.2675,78545915.5625753
"national","race-parenthood","asian-non-parent","formal","daily_living","active",191037938.828571,10029931.29
"national","race-parenthood","asian-non-parent","formal","developmental","active",100445912.142857,10029931.29
"national","race-parenthood","asian-non-parent","formal","health","active",230610562.285714,10029931.29
"national","race-parenthood","asian-non-parent","formal","none","active",1349209448.14286,10029931.29
"national","race-parenthood","asian-non-parent","informal","daily_living","active",1559194753.07407,8632429.71993166
"national","race-parenthood","asian-non-parent","informal","developmental","active",77702523.8753593,8632429.71993166
"national","race-parenthood","asian-non-parent","informal","developmental","passive_child",58005043.4462415,8632429.71993166
"national","race-parenthood","asian-non-parent","informal","health","active",65381128.3937488,8632429.71993166
"national","race-parenthood","asian-non-parent","informal","health","passive_elder",41888373.5245853,8632429.71993166
"national","race-parenthood","asian-non-parent","informal","none","active",8818048637.01524,8632429.71993166
"national","race-parenthood","asian-parent","formal","daily_living","active",112655998.885714,5183152.08
"national","race-parenthood","asian-parent","formal","developmental","active",90753333.3428572,5183152.08
"national","race-parenthood","asian-parent","formal","health","active",173305252.028571,5183152.08
"national","race-parenthood","asian-parent","formal","none","active",951714895.8,5183152.08
"national","race-parenthood","asian-parent","informal","daily_living","active",1011725202.8689,5126533.04019317
"national","race-parenthood","asian-parent","informal","developmental","active",551031387.430367,5126533.04019317
"national","race-parenthood","asian-parent","informal","developmental","passive_child",1270912640.1007,5126533.04019317
"national","race-parenthood","asian-parent","informal","health","active",35144898.8289889,5126533.04019317
"national","race-parenthood","asian-parent","informal","health","passive_elder",23033043.7731556,5126533.04019317
"national","race-parenthood","asian-parent","informal","none","active",4303086844.61703,5126533.04019317
"national","race-parenthood","black-non-parent","formal","daily_living","active",448476742.714286,20182126.6
"national","race-parenthood","black-non-parent","formal","developmental","active",208568061.685714,20182126.6
"national","race-parenthood","black-non-parent","formal","health","active",447320998.2,20182126.6
"national","race-parenthood","black-non-parent","formal","none","active",2342994628.45714,20182126.6
"national","race-parenthood","black-non-parent","informal","daily_living","active",3454525884.01319,19183057.4673615
"national","race-parenthood","black-non-parent","informal","developmental","active",152220590.871065,19183057.4673615
"national","race-parenthood","black-non-parent","informal","developmental","passive_child",286291740.573052,19183057.4673615
"national","race-parenthood","black-non-parent","informal","health","active",324300587.52979,19183057.4673615
"national","race-parenthood","black-non-parent","informal","health","passive_elder",254615908.997267,19183057.4673615
"national","race-parenthood","black-non-parent","informal","none","active",20220499561.7148,19183057.4673615
"national","race-parenthood","black-parent","formal","daily_living","active",177063256.457143,7494791.85
"national","race-parenthood","black-parent","formal","developmental","active",164169307.114286,7494791.85
"national","race-parenthood","black-parent","formal","health","active",338993749.114286,7494791.85
"national","race-parenthood","black-parent","formal","none","active",1222654950,7494791.85
"national","race-parenthood","black-parent","informal","daily_living","active",1393697732.15556,7544151.78337475
"national","race-parenthood","black-parent","informal","developmental","active",582119655.414425,7544151.78337475
"national","race-parenthood","black-parent","informal","developmental","passive_child",1621167576.0764,7544151.78337475
"national","race-parenthood","black-parent","informal","health","active",122579879.866113,7544151.78337475
"national","race-parenthood","black-parent","informal","health","passive_elder",47228911.7335357,7544151.78337475
"national","race-parenthood","black-parent","informal","none","active",6526754650.56888,7544151.78337475
"national","race-parenthood","hispan-non-parent","formal","daily_living","active",833332888.714286,26044111.94
"national","race-parenthood","hispan-non-parent","formal","developmental","active",251925369.342857,26044111.94
"national","race-parenthood","hispan-non-parent","formal","health","active",433853730.257143,26044111.94
"national","race-parenthood","hispan-non-parent","formal","none","active",3490587320.57143,26044111.94
"national","race-parenthood","hispan-non-parent","informal","daily_living","active",4139272988.83089,22166082.8096809
"national","race-parenthood","hispan-non-parent","informal","developmental","active",217995224.214964,22166082.8096809
"national","race-parenthood","hispan-non-parent","informal","developmental","passive_child",330958324.015413,22166082.8096809
"national","race-parenthood","hispan-non-parent","informal","health","active",248390371.843486,22166082.8096809
"national","race-parenthood","hispan-non-parent","informal","health","passive_elder",119625148.244399,22166082.8096809
"national","race-parenthood","hispan-non-parent","informal","none","active",22017611102.8607,22166082.8096809
"national","race-parenthood","hispan-parent","formal","daily_living","active",534979805.057143,13948045.6
"national","race-parenthood","hispan-parent","formal","developmental","active",179330405.228571,13948045.6
"national","race-parenthood","hispan-parent","formal","health","active",278165343.085714,13948045.6
"national","race-parenthood","hispan-parent","formal","none","active",2355599442.6,13948045.6
"national","race-parenthood","hispan-parent","informal","daily_living","active",3674557566.28578,16410366.8983453
"national","race-parenthood","hispan-parent","informal","developmental","active",1281433605.22669,16410366.8983453
"national","race-parenthood","hispan-parent","informal","developmental","passive_child",4447608283.38031,16410366.8983453
"national","race-parenthood","hispan-parent","informal","health","active",178884475.684483,16410366.8983453
"national","race-parenthood","hispan-parent","informal","health","passive_elder",19811389.0090344,16410366.8983453
"national","race-parenthood","hispan-parent","informal","none","active",14239225386.4199,16410366.8983453
"national","race-parenthood","multi-non-parent","formal","daily_living","active",65375325.6,2949979.94
"national","race-parenthood","multi-non-parent","formal","developmental","active",31520831.3142857,2949979.94
"national","race-parenthood","multi-non-parent","formal","health","active",57716350.2857143,2949979.94
"national","race-parenthood","multi-non-parent","formal","none","active",363200557.285714,2949979.94
"national","race-parenthood","multi-non-parent","informal","daily_living","active",364057943.362366,1813320.315826
"national","race-parenthood","multi-non-parent","informal","developmental","active",10722478.339642,1813320.315826
"national","race-parenthood","multi-non-parent","informal","developmental","passive_child",9980530.50741277,1813320.315826
"national","race-parenthood","multi-non-parent","informal","health","active",40716551.3036704,1813320.315826
"national","race-parenthood","multi-non-parent","informal","health","passive_elder",13469932.8443492,1813320.315826
"national","race-parenthood","multi-non-parent","informal","none","active",1813502881.47872,1813320.315826
"national","race-parenthood","multi-parent","formal","daily_living","active",15849913.5428571,1000643.7
"national","race-parenthood","multi-parent","formal","developmental","active",18428146.6285714,1000643.7
"national","race-parenthood","multi-parent","formal","health","active",25760187.6,1000643.7
"national","race-parenthood","multi-parent","formal","none","active",192107919.6,1000643.7
"national","race-parenthood","multi-parent","informal","daily_living","active",149449335.424138,738108.878887003
"national","race-parenthood","multi-parent","informal","developmental","active",88752692.2515515,738108.878887003
"national","race-parenthood","multi-parent","informal","developmental","passive_child",182874363.078893,738108.878887003
"national","race-parenthood","multi-parent","informal","health","active",8277454.87327271,738108.878887003
"national","race-parenthood","multi-parent","informal","health","passive_elder",719274.487086131,385354.605642871
"national","race-parenthood","multi-parent","informal","none","active",603257958.451839,738108.878887003
"national","race-parenthood","native-non-parent","formal","daily_living","active",28019565.9428571,1193914.25
"national","race-parenthood","native-non-parent","formal","developmental","active",10994835.5142857,1193914.25
"national","race-parenthood","native-non-parent","formal","health","active",14251794.3428571,1193914.25
"national","race-parenthood","native-non-parent","formal","none","active",140987478.428571,1193914.25
"national","race-parenthood","native-non-parent","informal","daily_living","active",119624342.920139,698777.709800355
"national","race-parenthood","native-non-parent","informal","developmental","active",24493682.1947107,698777.709800355
"national","race-parenthood","native-non-parent","informal","developmental","passive_child",13526467.944944,698777.709800355
"national","race-parenthood","native-non-parent","informal","health","active",13369646.7140249,698777.709800355
"national","race-parenthood","native-non-parent","informal","health","passive_elder",4328713.38775451,698777.709800355
"national","race-parenthood","native-non-parent","informal","none","active",724558658.610112,698777.709800355
"national","race-parenthood","native-parent","formal","daily_living","active",10701000.1714286,505092.07
"national","race-parenthood","native-parent","formal","developmental","active",9123026.65714286,505092.07
"national","race-parenthood","native-parent","formal","health","active",18331602.8571429,505092.07
"national","race-parenthood","native-parent","formal","none","active",78801387.2571429,505092.07
"national","race-parenthood","native-parent","informal","daily_living","active",57715682.3743029,302306.049204841
"national","race-parenthood","native-parent","informal","developmental","active",27159977.8055453,302306.049204841
"national","race-parenthood","native-parent","informal","developmental","passive_child",86676186.6028777,302306.049204841
"national","race-parenthood","native-parent","informal","health","active",2263418.1394605,302306.049204841
"national","race-parenthood","native-parent","informal","health","passive_elder",5076.35772787726,153146.244360502
"national","race-parenthood","native-parent","informal","none","active",255905561.563683,302306.049204841
"national","race-parenthood","white-non-parent","formal","daily_living","active",1444036668.77143,107041008.23
"national","race-parenthood","white-non-parent","formal","developmental","active",1233833342.57143,107041008.23
"national","race-parenthood","white-non-parent","formal","health","active",1756425981.68571,107041008.23
"national","race-parenthood","white-non-parent","formal","none","active",12986107209.7714,107041008.23
"national","race-parenthood","white-non-parent","informal","daily_living","active",23052372865.0864,107821309.337821
"national","race-parenthood","white-non-parent","informal","developmental","active",959111181.934096,107821309.337821
"national","race-parenthood","white-non-parent","informal","developmental","passive_child",1073808609.23074,107821309.337821
"national","race-parenthood","white-non-parent","informal","health","active",1631197794.68864,107821309.337821
"national","race-parenthood","white-non-parent","informal","health","passive_elder",1292157957.92353,107821309.337821
"national","race-parenthood","white-non-parent","informal","none","active",109186972633.665,107821309.337821
"national","race-parenthood","white-parent","formal","daily_living","active",465867756.942857,35262051.81
"national","race-parenthood","white-parent","formal","developmental","active",948910809.514286,35262051.81
"national","race-parenthood","white-parent","formal","health","active",1308868592.31429,35262051.81
"national","race-parenthood","white-parent","formal","none","active",6918246919.2,35262051.81
"national","race-parenthood","white-parent","informal","daily_living","active",7714434124.45986,38093779.5933587
"national","race-parenthood","white-parent","informal","developmental","active",3901875422.73409,38093779.5933587
"national","race-parenthood","white-parent","informal","developmental","passive_child",9117065146.57978,38093779.5933587
"national","race-parenthood","white-parent","informal","health","active",432694094.50866,38093779.5933587
"national","race-parenthood","white-parent","informal","health","passive_elder",136633798.765008,38093779.5933587
"national","race-parenthood","white-parent","informal","none","active",31846117123.9976,38093779.5933587
"state01","gender","female","formal","daily_living","active",39833192.1428571,2019921.43
"state01","gender","female","formal","developmental","active",42011664.7714286,1989289.5
"state01","gender","female","formal","health","active",62534971.8857143,1999420.03
"state01","gender","female","formal","none","active",187763044.2,2068089.42
"state01","gender","female","informal","daily_living","active",429417526.458423,1752103.4161833
"state01","gender","female","informal","developmental","active",56342566.4926927,1714360.69555627
"state01","gender","female","informal","developmental","passive_child",159328258.050272,1714360.69555627
"state01","gender","female","informal","health","active",47352610.0842948,1677295.97598174
"state01","gender","female","informal","health","passive_elder",23671259.8876892,1565490.71636019
"state01","gender","female","informal","none","active",1725637068.62386,1754600.66012534
"state01","gender","male","formal","daily_living","active",35155362,1796109.86
"state01","gender","male","formal","developmental","active",16576257.2571429,1684728.93
"state01","gender","male","formal","health","active",18806589.6,1657760.32
"state01","gender","male","formal","none","active",316912576.885714,1826657.89
"state01","gender","male","informal","daily_living","active",297106725.114391,1764423.96146795
"state01","gender","male","informal","developmental","active",30441853.5020592,1629396.04278129
"state01","gender","male","informal","developmental","passive_child",93713312.7157071,1687914.16563982
"state01","gender","male","informal","health","active",15062372.5618342,1571744.85311666
"state01","gender","male","informal","health","passive_elder",13299838.4674734,1096282.64240506
"state01","gender","male","informal","none","active",1748567418.99157,1764423.96146795
"state01","gender-parenthood","female-non-parent","formal","daily_living","active",24526996.9714286,1268604.56
"state01","gender-parenthood","female-non-parent","formal","developmental","active",18760123.3714286,1283731.01
"state01","gender-parenthood","female-non-parent","formal","health","active",34061786.0571429,1268604.56
"state01","gender-parenthood","female-non-parent","formal","none","active",102719749.285714,1311147.06
"state01","gender-parenthood","female-non-parent","informal","daily_living","active",265085006.040146,1098744.78958321
"state01","gender-parenthood","female-non-parent","informal","developmental","active",14901028.2428394,1068407.35076452
"state01","gender-parenthood","female-non-parent","informal","developmental","passive_child",25675120.677537,1068407.35076452
"state01","gender-parenthood","female-non-parent","informal","health","active",31238703.6475634,1076471.28021033
"state01","gender-parenthood","female-non-parent","informal","health","passive_elder",20867217.8360335,1078021.78437207
"state01","gender-parenthood","female-non-parent","informal","none","active",1094498250.40885,1098744.78958321
"state01","gender-parenthood","female-parent","formal","daily_living","active",12600939.6857143,519276.27
"state01","gender-parenthood","female-parent","formal","developmental","active",17788485.8571429,473517.89
"state01","gender-parenthood","female-parent","formal","health","active",20593890.9428571,498774.87
"state01","gender-parenthood","female-parent","formal","none","active",65541731.5714286,519276.27
"state01","gender-parenthood","female-parent","informal","daily_living","active",98695594.0431167,400851.630139717
"state01","gender-parenthood","female-parent","informal","developmental","active",38971007.1211421,400851.630139717
"state01","gender-parenthood","female-parent","informal","developmental","passive_child",106644292.508304,400851.630139717
"state01","gender-parenthood","female-parent","informal","health","active",3525872.12773622,355722.981119382
"state01","gender-parenthood","female-parent","informal","health","passive_elder",2643039.27121281,343804.884495197
"state01","gender-parenthood","female-parent","informal","none","active",360257569.028732,400851.630139717
"state01","gender-parenthood","male-non-parent","formal","daily_living","active",25904899.8857143,1269279.42
"state01","gender-parenthood","male-non-parent","formal","developmental","active",6910882.97142857,1230646.06
"state01","gender-parenthood","male-non-parent","formal","health","active",10131849.6857143,1269510.19
"state01","gender-parenthood","male-non-parent","formal","none","active",193055571.771429,1289006.56
"state01","gender-parenthood","male-non-parent","informal","daily_living","active",202924817.764,1159031.70320189
"state01","gender-parenthood","male-non-parent","informal","developmental","active",6467183.36911596,1096282.64240506
"state01","gender-parenthood","male-non-parent","informal","developmental","passive_child",6807590.97537972,1096282.64240506
"state01","gender-parenthood","male-non-parent","informal","health","active",14095062.0781853,1096282.64240506
"state01","gender-parenthood","male-non-parent","informal","health","passive_elder",13299838.4674734,1096282.64240506
"state01","gender-parenthood","male-non-parent","informal","none","active",1194000790.06821,1159031.70320189
"state01","gender-parenthood","male-parent","formal","daily_living","active",7985436,371801.63
"state01","gender-parenthood","male-parent","formal","developmental","active",8377730.57142857,339988.3
"state01","gender-parenthood","male-parent","formal","health","active",7188961.62857143,274155.56
"state01","gender-parenthood","male-parent","formal","none","active",92876149.2857143,371801.63
"state01","gender-parenthood","male-parent","informal","daily_living","active",70774019.8586687,431373.124492072
"state01","gender-parenthood","male-parent","informal","developmental","active",23629663.3805153,372855.001633539
"state01","gender-parenthood","male-parent","informal","developmental","passive_child",78455204.2991908,431373.124492072
"state01","gender-parenthood","male-parent","informal","health","active",936826.317837746,372855.001633539
"state01","gender-parenthood","male-parent","informal","none","active",374089786.680333,431373.124492072
"state01","gender-race","female-asian","informal","daily_living","active",4397149.26552492,12659.075765343
"state01","gender-race","female-asian","informal","none","active",25706109.4873689,30358.680188006
"state01","gender-race","female-black","formal","daily_living","active",8156508.25714286,350478.17
"state01","gender-race","female-black","formal","developmental","active",8539148.74285714,489747.76
"state01","gender-race","female-black","formal","health","active",13848134.7428571,350478.17
"state01","gender-race","female-black","formal","none","active",55372101.7714286,560919.24
"state01","gender-race","female-black","informal","daily_living","active",106504805.977237,521793.249300836
