Code_Informal,Type,Activity,Code_Formal
30501,PROVIDING,Helping adults,4610
30502,SUPPORT,Organization & planning for other adults,4610
30503,SUPPORT,Picking up/dropping off adults,4610
30504,SUPPORT,Waiting associated with helping adults,4610
30599,PROVIDING,Helping adults,4610
39999,PROVIDING,Helping adults,4610
40101,PROVIDING,Physical Care for Children,4600
40102,PROVIDING,Reading to Children,4600
40103,PROVIDING,Playing with Children,4600
40104,PROVIDING,Playing with Children,4600
40105,PROVIDING,Playing with Children,4600
40106,PROVIDING,Talking to Children,4600
40108,SUPPORT,Organization & planning for children,4600
40109,PROVIDING,Looking after children,4600
40110,Support,Attending Children's events,4600
40111,SUPPORT,Waiting for Children,4600
40112,SUPPORT,Picking up/dropping off children,4600
40199,PROVIDING,General childcare,4600
40201,PROVIDING,Helping with homework,2310
40202,SUPPORT,Meetings and school conferences,4600
40203,PROVIDING,Home schooling of children,2310
40204,SUPPORT,Waiting associated with children's education,4600
40299,PROVIDING,General Children's Education,2310
40301,PROVIDING,Providing medical care to children,3600
40302,PROVIDING,Obtaining medical care for children,3600
40303,SUPPORT,Providing medical care to children,3600
40399,PROVIDING,Providing medical care to children,3600
40401,PROVIDING,Physical care for adults,3600
40402,PROVIDING,Looking after adults (as a primary activity),3600
40403,PROVIDING,Providing medical care to adults,3600
40404,PROVIDING,Obtaining medical and care services for adults,3600
40405,SUPPORT,Providing medical care to adults,3600
40499,PROVIDING,Providing medical care to adults,3600
40501,DOMESTIC,General Housework,4200-4250
40502,DOMESTIC,Lawn and Garden,4200-4250
40503,NC,Animal Care,4340-4350
40504,DOMESTIC,Vehicle Repair,7000
40505,SUPPORT,Household Financial and Organizational Management,5000-5530
40506,SUPPORT,Household Financial and Organizational Management,5000-5530
40507,SUPPORT,Picking up/dropping off adults,4610
40508,SUPPORT,Waiting associated with helping adults,4610
40599,PROVIDING,Helping adults,4610
49999,PROVIDING,Helping adults,4610
70101,PROVIDING,Grocery shopping,4200-4250
70102,PROVIDING,Purchasing gas,4200-4250
70103,PROVIDING,Purchasing food (not groceries),4200-4250
70104,PROVIDING,"Shopping, except groceries, food and gas",4200-4250
70105,SUPPORT,Waiting associated with shopping,4200-4250
70199,PROVIDING,"Shopping, except groceries, food and gas",4200-4250
70201,SUPPORT,"Shopping, except groceries, food and gas",4200-4250
70299,SUPPORT,"Shopping, except groceries, food and gas",4200-4250
70301,nc,"Shopping, except groceries, food and gas",4200-4250
70399,nc,"Shopping, except groceries, food and gas",4200-4250
79999,PROVIDING,"Shopping, except groceries, food and gas",4200-4250
80101,SUPPORT,Using paid childcare services,4600
80102,SUPPORT,Using paid childcare services,4600
80199,SUPPORT,Using paid childcare services,4600
80201,SUPPORT,Banking,5000-5530
80202,SUPPORT,Banking,5000-5530
80203,SUPPORT,Banking,5000-5530
80299,SUPPORT,Banking,5000-5530
80301,SUPPORT,Using legal services,5000-5530
80302,SUPPORT,Using legal services,5000-5530
80399,SUPPORT,Using legal services,5000-5530
80401,SUPPORT,Using health and care services outside the home,4610
80402,SUPPORT,Using in-home health and care services,4610
80403,SUPPORT,Using health and care services outside the home,4610
80499,SUPPORT,Using health and care services outside the home,4610
80501,SUPPORT,Using personal care services,4610
80502,SUPPORT,Using personal care services,4610
80599,SUPPORT,Using personal care services,4610
80601,SUPPORT,Real Estate Sales,5000-5530
80602,SUPPORT,Real Estate Sales,5000-5530
80699,SUPPORT,Real Estate Sales,5000-5530
80701,NC,Using veterinary services,4340-4350
80702,NC,Using veterinary services,4340-4350
80799,NC,Using veterinary services,4340-4350
80801,SUPPORT,General personal services,4610
80899,SUPPORT,General personal services,4610
89999,SUPPORT,General personal services,4610
90101,SUPPORT,Using interior cleaning services ,4200-4250
90102,SUPPORT,Using meal preparation services,4200-4250
90103,SUPPORT,Using clothing repair and cleaning services,4200-4250
90104,SUPPORT,General personal services,4610
90199,SUPPORT,General personal services,4610
90201,SUPPORT,Using home maint/repair/d cor/construction svcs,7000
90202,SUPPORT,Using home maint/repair/d cor/construction svcs,7000
90299,SUPPORT,Using home maint/repair/d cor/construction svcs,7000
90401,SUPPORT,Using lawn and garden services,4200-4250
90402,SUPPORT,Using lawn and garden services,4200-4250
90499,SUPPORT,Using lawn and garden services,4200-4250
90501,SUPPORT,Using vehicle maintenance or repair services,7000
90502,SUPPORT,Using vehicle maintenance or repair services,7000
90599,SUPPORT,Using vehicle maintenance or repair services,7000
99999,SUPPORT,Using Home Services,4610
100101,SUPPORT,Using police and fire services,4610
100102,SUPPORT,Using social services,4610
150201,PROVIDING,Volunteering,5000-5530
150202,PROVIDING,Volunteering,5000-5530
150203,PROVIDING,Volunteering,5000-5530
150204,PROVIDING,Volunteering,5000-5530
150299,PROVIDING,Volunteering,5000-5530
150301,PROVIDING,Volunteering,5000-5530
150302,PROVIDING,Volunteering,5000-5530
150399,PROVIDING,Volunteering,5000-5530
150402,NC,Volunteering,5000-5530
150701,SUPPORT,Volunteering,5000-5530
150799,SUPPORT,Volunteering,5000-5530
150801,NC,Volunteering,5000-5530
150899,NC,Volunteering,5000-5530
159999,NC,Volunteering,5000-5530
,,Secondary Childcare,4600
,,Secondary Eldercare,4610
