"year","gini_national","stname"
2015,0.624093445423274,"Georgia, South Atlantic, South, United States"
2016,0.543027366741056,"Hawaii"
2017,0.54386342470533,"Hawaii"
2018,0.548326659056838,"Hawaii"
2019,0.532445884438659,"Hawaii"
2020,0.529362720180416,"Hawaii"
2021,0.534954695007471,"Hawaii"
2022,0.535055327529709,"Hawaii"
2023,0.535366376214486,"Hawaii"
2015,0.542445935624255,"Hawaii, Pacific, West, United States"
2016,0.673143065529013,"Idaho"
2017,0.666810407842912,"Idaho"
2018,0.665353133062995,"Idaho"
2019,0.670119968155875,"Idaho"
2020,0.658516647581547,"Idaho"
2021,0.663730413463879,"Idaho"
2022,0.617767213912317,"Idaho"
2023,0.620384778745557,"Idaho"
2015,0.685872452325461,"Idaho, Mountain, West, United States"
2016,0.660570504055524,"Illinois"
2017,0.659429980548912,"Illinois"
2018,0.657072242009376,"Illinois"
2019,0.657971847951388,"Illinois"
2020,0.656072907899993,"Illinois"
2021,0.657684381435686,"Illinois"
2022,0.658205498215732,"Illinois"
2023,0.657925382291082,"Illinois"
2015,0.658828138311659,"Illinois, East North Central, Midwest, United States"
2016,0.685815510247565,"Indiana"
2017,0.687386161002872,"Indiana"
2018,0.689417237885884,"Indiana"
2019,0.690462715766935,"Indiana"
2020,0.688173559017518,"Indiana"
2021,0.689248288313879,"Indiana"
2022,0.662821272250725,"Indiana"
2023,0.658913829234603,"Indiana"
2015,0.691417164189637,"Indiana, East North Central, Midwest, United States"
2016,0.625307467365816,"Iowa"
2017,0.624545009837777,"Iowa"
2018,0.673163563269803,"Iowa"
2019,0.673847213915858,"Iowa"
2020,0.669758022002587,"Iowa"
2021,0.664428742027637,"Iowa"
2022,0.665530725528024,"Iowa"
2023,0.666606017604035,"Iowa"
2015,0.617837623728096,"Iowa, West North Central, Midwest, United States"
2016,0.598849893816852,"Kansas"
2017,0.61654173387032,"Kansas"
2018,0.620825360131206,"Kansas"
2019,0.627141425746496,"Kansas"
2020,0.628306165920643,"Kansas"
2021,0.625138185374031,"Kansas"
2022,0.600604823707588,"Kansas"
2023,0.603106047321919,"Kansas"
2015,0.601900078272539,"Kansas, West North Central, Midwest, United States"
2016,0.764741106601471,"Kentucky"
2017,0.765109852138788,"Kentucky"
2018,0.760759996009866,"Kentucky"
2019,0.762730741667165,"Kentucky"
2020,0.759206734737441,"Kentucky"
2021,0.762505883327432,"Kentucky"
2022,0.760524866703794,"Kentucky"
2023,0.761181401316824,"Kentucky"
2015,0.765252782085173,"Kentucky, East South Central, South, United States"
2016,0.543447924932738,"Louisiana"
2017,0.540599164260812,"Louisiana"
2018,0.545634494748022,"Louisiana"
2019,0.560454017326738,"Louisiana"
2020,0.536123596874592,"Louisiana"
2021,0.540930428975682,"Louisiana"
2022,0.54648944411472,"Louisiana"
2023,0.561206420975528,"Louisiana"
2015,0.545701962731638,"Louisiana, West South Central, South, United States"
2016,0.507931316747569,"Maine"
2017,0.506770246276411,"Maine"
2018,0.518813641388521,"Maine"
2019,0.535620938555615,"Maine"
2020,0.551311213207725,"Maine"
2021,0.466529610399202,"Maine"
2022,0.472365142714885,"Maine"
2023,0.483432870012063,"Maine"
2015,0.489883714999944,"Maine, New England, Northeast, United States"
2016,0.456609874366918,"Maryland"
2017,0.460946952171349,"Maryland"
2018,0.466069264972478,"Maryland"
2019,0.468949851906887,"Maryland"
2020,0.469026553363426,"Maryland"
2021,0.477091520698187,"Maryland"
2022,0.488727764884949,"Maryland"
2023,0.47727894287147,"Maryland"
2015,0.45608223899508,"Maryland, South Atlantic, South, United States"
2016,0.345903043583244,"Massachusetts"
2017,0.343843361427511,"Massachusetts"
2018,0.343458112074347,"Massachusetts"
2019,0.350594002250421,"Massachusetts"
2020,0.344855541065187,"Massachusetts"
2021,0.348566003760874,"Massachusetts"
2022,0.358622488296409,"Massachusetts"
2023,0.361806683653826,"Massachusetts"
2015,0.352342186797697,"Massachusetts, New England, Northeast, United States"
2016,0.60057384719176,"Michigan"
2017,0.59965464564724,"Michigan"
2018,0.598335115161977,"Michigan"
2019,0.596647372223503,"Michigan"
2020,0.594166256402783,"Michigan"
2021,0.590734696482895,"Michigan"
2022,0.591945892617579,"Michigan"
2023,0.589192849042911,"Michigan"
2015,0.601077402698263,"Michigan, East North Central, Midwest, United States"
2016,0.684829479544947,"Minnesota"
2017,0.684947209436359,"Minnesota"
2018,0.687063112761638,"Minnesota"
2019,0.685159992106252,"Minnesota"
2020,0.693112911817187,"Minnesota"
2021,0.694015945626411,"Minnesota"
2022,0.680710801239573,"Minnesota"
2023,0.678877393635935,"Minnesota"
2015,0.688975198689151,"Minnesota, West North Central, Midwest, United States"
2016,0.659523354186167,"Mississippi"
2017,0.636511384253509,"Mississippi"
2018,0.633851861478169,"Mississippi"
2019,0.630382649755271,"Mississippi"
2020,0.622816967177412,"Mississippi"
2021,0.620227862733132,"Mississippi"
2022,0.570432079237823,"Mississippi"
2023,0.568905234832184,"Mississippi"
2015,0.66701613215258,"Mississippi, East South Central, South, United States"
2016,0.679174922181108,"Missouri"
2017,0.682075283641893,"Missouri"
2018,0.682633638005863,"Missouri"
2019,0.680880361242403,"Missouri"
2020,0.67607114986232,"Missouri"
2021,0.678607129012271,"Missouri"
2022,0.665238800543371,"Missouri"
2023,0.664275464524532,"Missouri"
2015,0.680109843133249,"Missouri, West North Central, Midwest, United States"
2016,0.503348704624628,"Montana"
2017,0.515853000263328,"Montana"
2018,0.517987975102305,"Montana"
2019,0.513268604304635,"Montana"
2020,0.506142718545381,"Montana"
2021,0.523522680789879,"Montana"
2022,0.521826206457944,"Montana"
2023,0.523364948881028,"Montana"
2015,0.447790913652717,"Montana, Mountain, West, United States"
2016,0.668016885433919,"Nebraska"
2017,0.669186308768927,"Nebraska"
2018,0.669576779939075,"Nebraska"
2019,0.665269077340372,"Nebraska"
2020,0.664036078429667,"Nebraska"
2021,0.647201584053077,"Nebraska"
2022,0.643574194686812,"Nebraska"
2023,0.641009828778479,"Nebraska"
2015,0.669232033329937,"Nebraska, West North Central, Midwest, United States"
2016,0.48717258420837,"Nevada"
2017,0.488883953837079,"Nevada"
2018,0.489904907311478,"Nevada"
2019,0.489788270817195,"Nevada"
2020,0.493488283813598,"Nevada"
2021,0.520329545362175,"Nevada"
2022,0.501555552580395,"Nevada"
2023,0.504271506933995,"Nevada"
2015,0.486670248757693,"Nevada, Mountain, West, United States"
2016,0.420546586738188,"New Hampshire"
2017,0.423467979824764,"New Hampshire"
2018,0.43647580292663,"New Hampshire"
2019,0.444365842884017,"New Hampshire"
2020,0.439791889138031,"New Hampshire"
2021,0.433491733552827,"New Hampshire"
2022,0.45527591416908,"New Hampshire"
2023,0.45863760405528,"New Hampshire"
2015,0.424026337063541,"New Hampshire, New England, Northeast, United States"
2016,0.285019780768702,"New Jersey"
2017,0.277194122429194,"New Jersey"
2018,0.263317902822098,"New Jersey"
2019,0.261505795226023,"New Jersey"
2020,0.262304497074798,"New Jersey"
2021,0.265207031825618,"New Jersey"
2022,0.276209044411498,"New Jersey"
2023,0.283159972136681,"New Jersey"
2015,0.267843756386153,"New Jersey, Middle Atlantic, Northeast, United States"
2016,0.653229164047151,"New Mexico"
2017,0.65084770243679,"New Mexico"
2018,0.652158051488835,"New Mexico"
2019,0.649952710190227,"New Mexico"
2020,0.660302684879684,"New Mexico"
2021,0.65359999995652,"New Mexico"
2022,0.615340474118255,"New Mexico"
2023,0.647773673596608,"New Mexico"
2015,0.648603180994746,"New Mexico, Mountain, West, United States"
2016,0.438363774640113,"New York"
2017,0.442204913975093,"New York"
2018,0.447847017438629,"New York"
2019,0.453645701776441,"New York"
2020,0.45954781872132,"New York"
2021,0.467059445704358,"New York"
2022,0.476127993694644,"New York"
2023,0.484200887636862,"New York"
2015,0.434559496079498,"New York, Middle Atlantic, Northeast, United States"
2016,0.619229100883005,"North Carolina"
2017,0.618270499247007,"North Carolina"
2018,0.620096745086154,"North Carolina"
2019,0.629846667296746,"North Carolina"
2020,0.623356078702906,"North Carolina"
2021,0.643128896328742,"North Carolina"
2022,0.610522156189925,"North Carolina"
2023,0.615110425243272,"North Carolina"
2015,0.606761073733642,"North Carolina, South Atlantic, South, United States"
2016,0.658086231785301,"North Dakota"
2017,0.661491140550514,"North Dakota"
2018,0.666681013509781,"North Dakota"
2019,0.686178940610556,"North Dakota"
2020,0.679993487942476,"North Dakota"
2021,0.679494488109594,"North Dakota"
2022,0.642727796601318,"North Dakota"
2023,0.64195491350494,"North Dakota"
2015,0.656576987813556,"North Dakota, West North Central, Midwest, United States"
2016,0.618373848677563,"Ohio"
2017,0.614449270419693,"Ohio"
2018,0.613737272821279,"Ohio"
2019,0.611345493682397,"Ohio"
2020,0.609695265087317,"Ohio"
2021,0.611212938323501,"Ohio"
2022,0.606264980448108,"Ohio"
2023,0.607530993801207,"Ohio"
2015,0.619799118976876,"Ohio, East North Central, Midwest, United States"
2016,0.65387669562388,"Oklahoma"
2017,0.653208427901458,"Oklahoma"
2018,0.649490912120208,"Oklahoma"
2019,0.65001356104628,"Oklahoma"
2020,0.64734943646036,"Oklahoma"
2021,0.650551789492704,"Oklahoma"
2022,0.655739388413948,"Oklahoma"
2023,0.660529517334372,"Oklahoma"
2015,0.653092281207042,"Oklahoma, West South Central, South, United States"
2016,0.529870345289725,"Oregon"
2017,0.527348020116623,"Oregon"
2018,0.525984735370097,"Oregon"
2019,0.520996455911426,"Oregon"
2020,0.52337855030443,"Oregon"
2021,0.528931967836546,"Oregon"
2022,0.525267808236254,"Oregon"
2023,0.523188203196044,"Oregon"
2015,0.546431225119258,"Oregon, Pacific, West, United States"
2016,0.533110305008082,"Pennsylvania"
2017,0.533908342459602,"Pennsylvania"
2018,0.537134076442819,"Pennsylvania"
2019,0.540418715081297,"Pennsylvania"
2020,0.540636447910697,"Pennsylvania"
2021,0.541017792731162,"Pennsylvania"
2022,0.562503681074202,"Pennsylvania"
2023,0.566550682713416,"Pennsylvania"
2015,0.532190036155009,"Pennsylvania, Middle Atlantic, Northeast, United States"
2015,0.795297969209489,"Puerto Rico"
2018,0.795476860015726,"Puerto Rico"
2019,0.792401607204183,"Puerto Rico"
2016,0.792580340598338,"Puerto Rico Commonwealth"
2017,0.788887209197198,"Puerto Rico Commonwealth"
2016,0.57156349186036,"Rhode Island"
2017,0.569772426819369,"Rhode Island"
2018,0.571950033287146,"Rhode Island"
2019,0.571104701715025,"Rhode Island"
2020,0.568930645875943,"Rhode Island"
2021,0.570351895733407,"Rhode Island"
2022,0.56953776977369,"Rhode Island"
2023,0.570926035941808,"Rhode Island"
2015,0.584743421491346,"Rhode Island, New England, Northeast, United States"
2016,0.565627759731367,"South Carolina"
2017,0.562645051994985,"South Carolina"
2018,0.562438036028958,"South Carolina"
2019,0.564277209707104,"South Carolina"
2020,0.553384358123665,"South Carolina"
2021,0.548811066825633,"South Carolina"
2022,0.556193868323558,"South Carolina"
2023,0.553285902977707,"South Carolina"
2015,0.568267873885953,"South Carolina, South Atlantic, South, United States"
2016,0.732949527212265,"South Dakota"
2017,0.729816362206149,"South Dakota"
2018,0.728910936466789,"South Dakota"
2019,0.723800373710025,"South Dakota"
2020,0.724275328639572,"South Dakota"
2021,0.721367792266995,"South Dakota"
2022,0.717049849443772,"South Dakota"
2023,0.719626154564279,"South Dakota"
2015,0.736648171511182,"South Dakota, West North Central, Midwest, United States"
2016,0.6618281055593,"Tennessee"
2017,0.658807633705248,"Tennessee"
2018,0.660532628715263,"Tennessee"
2019,0.679053708576167,"Tennessee"
2020,0.679339887095136,"Tennessee"
2021,0.679378822629282,"Tennessee"
2022,0.62876150187157,"Tennessee"
2023,0.628863677585963,"Tennessee"
2015,0.663110561119394,"Tennessee, East South Central, South, United States"
2016,0.607405465816404,"Texas"
2017,0.605162633913142,"Texas"
2018,0.60161790893204,"Texas"
2019,0.59792978862692,"Texas"
2020,0.59732711768626,"Texas"
2021,0.599829442456306,"Texas"
2022,0.591583508614205,"Texas"
2023,0.591162744940742,"Texas"
2015,0.611784338497897,"Texas, West South Central, South, United States"
2016,0.581105556670689,"Utah"
2017,0.600025488879017,"Utah"
2018,0.599041909826816,"Utah"
2019,0.585045561398583,"Utah"
2020,0.572006510141674,"Utah"
2021,0.568361545063143,"Utah"
2022,0.53483607605828,"Utah"
2023,0.533435912414273,"Utah"
2015,0.602259911091416,"Utah, Mountain, West, United States"
2016,0.454407893151181,"Vermont"
2017,0.433757025427985,"Vermont"
2018,0.43359630043592,"Vermont"
2019,0.516007408215537,"Vermont"
2020,0.42111945386207,"Vermont"
2021,0.51716700058414,"Vermont"
2022,0.513379522931861,"Vermont"
2023,0.513981571582319,"Vermont"
2015,0.453247728624003,"Vermont, New England, Northeast, United States"
2016,0.674612628923662,"Virginia"
2017,0.676094522557751,"Virginia"
2018,0.638128250202562,"Virginia"
2019,0.638121880433828,"Virginia"
2020,0.63663958033994,"Virginia"
2021,0.634461757227169,"Virginia"
2022,0.627536984120075,"Virginia"
2023,0.625667609129794,"Virginia"
2015,0.673756275018058,"Virginia, South Atlantic, South, United States"
2016,0.599679926030904,"Washington"
2017,0.642154181070656,"Washington"
2018,0.610892402440035,"Washington"
2019,0.633938556443198,"Washington"
2020,0.595696216732038,"Washington"
2021,0.633126632530039,"Washington"
2022,0.642091292112797,"Washington"
2023,0.641457106239284,"Washington"
2015,0.599870585395633,"Washington, Pacific, West, United States"
2016,0.635105722633316,"West Virginia"
2017,0.633339154695028,"West Virginia"
2018,0.630219095162714,"West Virginia"
2019,0.622264099480686,"West Virginia"
2020,0.621808662452356,"West Virginia"
2021,0.62848014791154,"West Virginia"
2022,0.580747041318263,"West Virginia"
2023,0.584017107391518,"West Virginia"
2015,0.631051340731034,"West Virginia, South Atlantic, South, United States"
2016,0.670767666714282,"Wisconsin"
2017,0.671134459081786,"Wisconsin"
2018,0.672236770324023,"Wisconsin"
2019,0.668832529530712,"Wisconsin"
2020,0.656453721511088,"Wisconsin"
2021,0.661348636078985,"Wisconsin"
2022,0.660262128356406,"Wisconsin"
2023,0.659878363052794,"Wisconsin"
2015,0.672198022002853,"Wisconsin, East North Central, Midwest, United States"
2016,0.43935818030666,"Wyoming"
2017,0.449286390392548,"Wyoming"
2018,0.458590194410943,"Wyoming"
2019,0.449750898627443,"Wyoming"
2020,0.449314916239105,"Wyoming"
2021,0.452079046460435,"Wyoming"
2022,0.449874417944127,"Wyoming"
2023,0.448855639500404,"Wyoming"
2015,0.438982232180882,"Wyoming, Mountain, West, United States"
