"name","geo","median_wage","population","provision_interval","Type"
"Cooks/Chefs","state26","20000",74412.55328,19982722.7569714,"Paid"
"Cooks/Chefs","state55","20000",35687.98966,8945880.14331429,"Paid"
"Cooks/Chefs","state27","26000",43273.04696,12201968.2734857,"Paid"
"Cooks/Chefs","state19","20800",20774.6593,5613835.14531429,"Paid"
"Cooks/Chefs","state29","25000",44950.36978,13574887.9386857,"Paid"
"Cooks/Chefs","state38","27000",6197.6568,1771342.5348,"Paid"
"Cooks/Chefs","state46","25000",6941.51744,1837790.04754286,"Paid"
"Cooks/Chefs","state31","22000",15389.16024,4604626.99268571,"Paid"
"Cooks/Chefs","state20","20000",24250.76172,7087046.28068571,"Paid"
"Cooks/Chefs","state10","25000",8830.4447,2112561.78634286,"Paid"
"Cooks/Chefs","state24","30000",51327.52542,16144853.2697143,"Paid"
"Cooks/Chefs","state11","24000",3562.22972,1034997.46988571,"Paid"
"Cooks/Chefs","state51","24180",63385.9987,18052733.8164,"Paid"
"Cooks/Chefs","state54","20800",17228.50306,4811584.71514286,"Paid"
"Cooks/Chefs","state37","23013",90933.79426,24731963.8112571,"Paid"
"Cooks/Chefs","state45","23000",31382.65436,9461646.19628571,"Paid"
"Cooks/Chefs","state13","21600",90969.23704,25000821.7666286,"Paid"
"Cooks/Chefs","state12","25000",178856.13992,58182753.9495429,"Paid"
"Cooks/Chefs","state21","20000",34014.67244,10433671.0016571,"Paid"
"Cooks/Chefs","state47","24000",62176.85438,19058828.6475429,"Paid"
"Cooks/Chefs","state01","25000",36806.60652,10867518.4494857,"Paid"
"Cooks/Chefs","state28","20000",25585.02906,7812291.23537143,"Paid"
"Cooks/Chefs","state05","19240",27525.52,7839170.12931429,"Paid"
"Cooks/Chefs","state22","20000",39372.81276,10738989.9205714,"Paid"
"Cooks/Chefs","state40","19200",34913.34048,10913275.0717714,"Paid"
"Cooks/Chefs","state48","23000",233576.53724,73399678.8262286,"Paid"
"Cooks/Chefs","state30","23507",10265.95128,2803040.94411429,"Paid"
"Cooks/Chefs","state16","17000",12671.18256,3214750.0272,"Paid"
"Cooks/Chefs","state56","21000",4358.84776,1232294.72811429,"Paid"
"Cooks/Chefs","state08","30000",43610.93576,12553931.3799429,"Paid"
"Cooks/Chefs","state35","22000",13665.17784,4082971.89257143,"Paid"
"Cooks/Chefs","state04","26000",59151.26234,19087865.0331429,"Paid"
"Cooks/Chefs","state49","22880",15244.76934,4174226.36742857,"Paid"
"Cooks/Chefs","state32","28000",31662.52908,10195362.2857714,"Paid"
"Cooks/Chefs","state53","25000",61890.86992,18279007.2462857,"Paid"
"Cooks/Chefs","state41","28000",37664.19836,10200305.8428,"Paid"
"Cooks/Chefs","state06","28000",328720.19696,100170226.225714,"Paid"
"Cooks/Chefs","state02","29200",5777.62432,1898760.1644,"Paid"
"Cooks/Chefs","state15","31200",14212.70006,4348331.79891429,"Paid"
"Counselors","state23","43000",4953.9387,1632020.97428571,"Paid"
"Counselors","state33","42000",6774.55806,2136804.5304,"Paid"
"Counselors","state50","50000",4952.02346,1484744.59937143,"Paid"
"Counselors","state25","60000",34564.95912,9917563.44068571,"Paid"
"Counselors","state44","52000",6083.54888,1697461.71188571,"Paid"
"Counselors","state09","56000",20780.7261,6110620.88331429,"Paid"
"Counselors","state36","47000",81270.27032,23908361.1879429,"Paid"
"Counselors","state34","62000",33273.03022,10780119.9258857,"Paid"
"Counselors","state42","47000",82714.3783,27673784.9701714,"Paid"
"Counselors","state39","48000",57285.22174,18241471.6894286,"Paid"
"Counselors","state18","49000",28904.97068,10420405.7852571,"Paid"
"Counselors","state17","56000",61341.43606,19430769.8679429,"Paid"
"Counselors","state26","45000",38514.7653,12446300.3833714,"Paid"
"Counselors","state55","60000",30449.4524,10515222.6456,"Paid"
"Counselors","state27","46000",51099.93378,15272103.8442857,"Paid"
"Counselors","state19","52000",14682.48364,5193821.86782857,"Paid"
"Counselors","state29","45000",21404.78908,6700501.73657143,"Paid"
"Counselors","state38","50000",3418.36792,1037697.71965714,"Paid"
"Counselors","state46","50000",6302.72952,2084184.48737143,"Paid"
"Counselors","state31","50000",10724.71666,3515853.2148,"Paid"
"Counselors","state20","32000",15856.54098,4604896.84937143,"Paid"
"Counselors","state10","42000",4667.27256,1059802.8312,"Paid"
"Counselors","state24","48000",25188.77664,7885019.45245714,"Paid"
"Counselors","state11","62000",2443.92174,794401.912457143,"Paid"
"Counselors","state51","50000",46327.44318,13661014.1278286,"Paid"
"Counselors","state54","45000",7462.64566,2383808.37994286,"Paid"
"Counselors","state37","48000",51282.07156,15284763.0085714,"Paid"
"Counselors","state45","48000",20010.69716,6176112.43062857,"Paid"
"Counselors","state13","41086",38792.22054,12049761.7230857,"Paid"
"Counselors","state12","48880",84586.66384,26730878.736,"Paid"
"Counselors","state21","45000",21627.12528,7121809.25142857,"Paid"
"Counselors","state47","40000",33425.161,9986144.316,"Paid"
"Counselors","state01","57000",23939.71044,7369929.21411429,"Paid"
"Counselors","state28","45000",13667.84302,4156419.48685714,"Paid"
"Counselors","state05","42000",14583.51458,4300221.49354286,"Paid"
"Counselors","state22","40000",21234.39332,6171525.02331429,"Paid"
"Counselors","state40","47000",21258.3935,6807582.35914286,"Paid"
"Counselors","state48","53000",147309.82574,47202264.9054857,"Paid"
"Counselors","state30","38000",6705.67946,1959770.50062857,"Paid"
"Counselors","state16","56000",6592.88116,2054884.05017143,"Paid"
"Counselors","state56","47500",3331.21408,998232.222514286,"Paid"
"Counselors","state08","49000",35460.31624,11523326.0069143,"Paid"
"Counselors","state35","42000",8652.35194,3207878.6652,"Paid"
"Counselors","state04","52000",29051.43146,10265958.7693714,"Paid"
"Counselors","state49","48000",15486.1538,4665833.88068571,"Paid"
"Counselors","state32","48880",6361.38876,1854639.76148571,"Paid"
"Counselors","state53","55000",43658.7862,13494339.0994286,"Paid"
"Counselors","state41","50000",22681.0962,6872957.07085714,"Paid"
"Counselors","state06","50000",153201.15242,46919240.946,"Paid"
"Counselors","state02","58000",3897.49628,1074136.16297143,"Paid"
"Counselors","state15","49947",5655.4644,1880161.122,"Paid"
"Dentists","state23","60000",5411.39048,1537499.75914286,"Paid"
"Dentists","state33","50000",5179.51384,1301022.56297143,"Paid"
"Dentists","state50","56561",1191.75636,319797.672,"Paid"
"Dentists","state25","67000",14505.4613,4143113.8704,"Paid"
"Dentists","state44","61000",3272.8861,908944.753028571,"Paid"
"Dentists","state09","60000",10154.95554,3219622.1436,"Paid"
"Dentists","state36","50000",43748.42036,12305261.1114857,"Paid"
"Dentists","state34","55000",20769.64562,6125457.95897143,"Paid"
"Dentists","state42","50000",17516.45824,5573217.26948571,"Paid"
"Dentists","state39","53000",21314.23802,5766753.156,"Paid"
"Dentists","state18","50000",11100.28722,3354769.23171429,"Paid"
"Dentists","state17","57000",29749.70258,8825880.95571429,"Paid"
"Dentists","state26","43000",26366.43878,7999808.07891429,"Paid"
"Dentists","state55","50002",20105.85524,6055535.58685714,"Paid"
"Dentists","state27","54000",10753.4668,3112459.2,"Paid"
"Dentists","state19","50000",4996.29814,1812995.27845714,"Paid"
"Dentists","state29","40000",8879.05162,2908863.97714286,"Paid"
"Dentists","state38","54668.5119999998",2500.72376,730191.044914286,"Paid"
"Dentists","state46","45000",2746.07532,818068.6464,"Paid"
"Dentists","state31","40000",3348.29914,884812.102285714,"Paid"
"Dentists","state20","40000",7655.30174,2207604.52062857,"Paid"
"Dentists","state10","49000",2169.00562,512324.492057143,"Paid"
"Dentists","state24","100000",7818.90654,2349655.128,"Paid"
"Dentists","state51","66191",14508.38096,3489253.02582857,"Paid"
"Dentists","state54","35000",3828.81334,1227346.86342857,"Paid"
"Dentists","state37","55000",14002.99224,3475284.97851429,"Paid"
"Dentists","state45","44000",14210.21768,4408692.14314286,"Paid"
"Dentists","state13","42500",11165.08276,3575344.05994286,"Paid"
"Dentists","state12","50000",50114.12538,16085556.4693714,"Paid"
"Dentists","state47","48000",9669.2098,3003065.75657143,"Paid"
"Dentists","state01","30000",5985.38168,1895677.51594286,"Paid"
"Dentists","state28","32000",4445.56592,1208979.31354286,"Paid"
"Dentists","state05","50000",6193.34542,1714295.92731429,"Paid"
"Dentists","state22","38000",6703.50496,1799184.18994286,"Paid"
"Dentists","state40","31776",7084.71286,2336927.98628571,"Paid"
"Dentists","state48","48000",58715.39936,18348791.1726857,"Paid"
"Dentists","state30","40000",2477.8837,696724.415485714,"Paid"
"Dentists","state16","34000",4651.93732,1281577.62171429,"Paid"
"Dentists","state56","46000",1555.57506,442009.357714286,"Paid"
"Dentists","state08","65000",12137.92676,3399899.72417143,"Paid"
"Dentists","state35","40000",3185.38812,1045037.86971429,"Paid"
"Dentists","state04","40002",11560.97652,3531917.60297143,"Paid"
"Dentists","state49","49000",9896.52738,2451346.3356,"Paid"
"Dentists","state32","55000",5774.83798,1906938.14245714,"Paid"
"Dentists","state53","52000",21231.43496,5604010.35205714,"Paid"
"Dentists","state41","55000",10901.78782,3216815.61,"Paid"
"Dentists","state06","45000",94155.76496,27717874.1568,"Paid"
"Dentists","state02","50000",2128.2504,659126.570057143,"Paid"
"Dentists","state15","36000",2584.2872,739982.558571429,"Paid"
"Education Administrators","state23","68000",5337.83276,1665038.67085714,"Paid"
"Education Administrators","state33","80000",5797.50496,2175791.658,"Paid"
"Education Administrators","state50","69000",3673.4795,1242938.79582857,"Paid"
"Education Administrators","state25","85150",36429.2534,13097418.3966857,"Paid"
"Education Administrators","state44","66000",4516.16166,1424271.43645714,"Paid"
"Education Administrators","state09","96000",14976.79142,5570335.53,"Paid"
"Education Administrators","state36","81376",49080.17028,17379378.7277143,"Paid"
"Education Administrators","state34","100000",24969.2743,9076251.54085714,"Paid"
"Education Administrators","state42","75000",47908.0867,16673341.2351429,"Paid"
"Education Administrators","state39","70000",39188.84912,13061488.2992571,"Paid"
"Education Administrators","state18","63000",25050.75566,8964754.1508,"Paid"
"Education Administrators","state17","90000",40011.55914,14273872.9050857,"Paid"
"Education Administrators","state26","75000",20616.09684,7047349.49091429,"Paid"
"Education Administrators","state55","70000",15001.13322,4866308.58085714,"Paid"
"Education Administrators","state27","75000",21805.11634,7283671.75371429,"Paid"
"Education Administrators","state19","65000",6267.29394,2662345.79588571,"Paid"
"Education Administrators","state29","80000",12420.00144,4252352.23457143,"Paid"
"Education Administrators","state38","60000",2260.87478,864882.759428571,"Paid"
"Education Administrators","state46","50000",1910.67154,704222.804571429,"Paid"
"Education Administrators","state31","68000",5524.10962,1833609.14297143,"Paid"
"Education Administrators","state20","70000",8138.69056,2751282.06857143,"Paid"
"Education Administrators","state10","60000",2261.77068,910630.846285714,"Paid"
"Education Administrators","state24","75000",15551.3547,5442761.56371429,"Paid"
"Education Administrators","state11","100000",3592.0037,1267200.33771429,"Paid"
"Education Administrators","state51","80000",29700.05696,10556785.7535429,"Paid"
"Education Administrators","state54","60000",3617.18964,1378162.674,"Paid"
"Education Administrators","state37","65000",40298.42678,14029131.6173143,"Paid"
"Education Administrators","state45","70000",9931.23428,3407740.61314286,"Paid"
"Education Administrators","state13","76000",33491.17036,11323005.1234286,"Paid"
"Education Administrators","state12","56000",49167.34204,16488192.2616,"Paid"
"Education Administrators","state21","64000",11822.0539,4384514.45657143,"Paid"
"Education Administrators","state47","60000",16836.28462,5778739.95445714,"Paid"
"Education Administrators","state01","78000",15783.88792,5409798.5004,"Paid"
"Education Administrators","state28","73000",8095.69378,2821005.68588571,"Paid"
"Education Administrators","state05","70000",6832.21818,2406131.34,"Paid"
"Education Administrators","state22","60000",12912.22674,4358968.84748571,"Paid"
"Education Administrators","state40","69000",10658.98326,3768198.61371429,"Paid"
"Education Administrators","state48","70000",96390.96956,34753188.2934857,"Paid"
"Education Administrators","state30","41000",2598.60446,763648.578342857,"Paid"
"Education Administrators","state16","65000",7723.11456,2890863.77177143,"Paid"
"Education Administrators","state56","60000",2365.46034,793554.175371429,"Paid"
"Education Administrators","state08","70000",18842.74748,7152392.80028571,"Paid"
"Education Administrators","state35","80000",5574.46112,1910805.08674286,"Paid"
"Education Administrators","state04","79000",25118.7711,10136349.6176571,"Paid"
"Education Administrators","state49","78000",13633.98218,4715470.4304,"Paid"
"Education Administrators","state32","75000",5822.61868,2175489.10542857,"Paid"
"Education Administrators","state53","100000",22551.22868,8500135.86822857,"Paid"
"Education Administrators","state41","93000",12883.05842,4357766.67771429,"Paid"
"Education Administrators","state06","90000",106650.88884,37181005.7962286,"Paid"
"Education Administrators","state02","80000",2187.2495,817538.844685714,"Paid"
"Education Administrators","state15","81000",4272.62612,1484388.58217143,"Paid"
"Elementary and Middle School Teachers","state23","42000",15413.14646,4826794.7592,"Paid"
"Elementary and Middle School Teachers","state33","52000",14369.7284,4803722.33914286,"Paid"
"Elementary and Middle School Teachers","state50","60000",8322.47396,2810922.13268571,"Paid"
"Elementary and Middle School Teachers","state25","67000",89563.59184,29272475.3197714,"Paid"
"Elementary and Middle School Teachers","state44","72000",13346.31822,3875223.99651429,"Paid"
"Elementary and Middle School Teachers","state09","70000",37270.24424,11249040.0473143,"Paid"
"Elementary and Middle School Teachers","state36","67000",254261.59932,82508926.7022857,"Paid"
"Elementary and Middle School Teachers","state34","65000",115440.74452,37734103.8598286,"Paid"
"Elementary and Middle School Teachers","state42","60000",117071.83434,38438961.9315429,"Paid"
"Elementary and Middle School Teachers","state39","55000",118511.71808,37288136.8709143,"Paid"
"Elementary and Middle School Teachers","state18","51000",73137.48394,24703302.3183429,"Paid"
"Elementary and Middle School Teachers","state17","57000",133484.36094,44350038.9687429,"Paid"
"Elementary and Middle School Teachers","state26","60000",84341.4499,27075123.0288,"Paid"
"Elementary and Middle School Teachers","state55","47000",55416.16006,17891286.5177143,"Paid"
"Elementary and Middle School Teachers","state27","51200",56321.50564,19133910.4062857,"Paid"
"Elementary and Middle School Teachers","state19","51635",37483.99294,13517842.4067429,"Paid"
"Elementary and Middle School Teachers","state29","42002",67262.40378,21401793.1532571,"Paid"
"Elementary and Middle School Teachers","state38","48250",9253.98456,3024181.25605714,"Paid"
"Elementary and Middle School Teachers","state46","50000",8307.22546,2715566.54434286,"Paid"
"Elementary and Middle School Teachers","state31","50000",19406.12038,6476448.918,"Paid"
"Elementary and Middle School Teachers","state20","50000",34887.66478,12063036.1047429,"Paid"
"Elementary and Middle School Teachers","state10","50000",10511.07072,3126079.86565714,"Paid"
"Elementary and Middle School Teachers","state24","55000",84954.33456,26563338.2590286,"Paid"
"Elementary and Middle School Teachers","state11","60000",5150.94172,1698910.39748571,"Paid"
"Elementary and Middle School Teachers","state51","50000",102027.43028,32035838.8608,"Paid"
"Elementary and Middle School Teachers","state54","45000",16436.34516,4861203.61954286,"Paid"
"Elementary and Middle School Teachers","state37","49000",119463.01554,39883322.7553714,"Paid"
"Elementary and Middle School Teachers","state45","50000",64715.6349,21961380.936,"Paid"
"Elementary and Middle School Teachers","state13","54100",138610.47712,47452750.7329714,"Paid"
"Elementary and Middle School Teachers","state12","48000",195210.80086,64793276.6125714,"Paid"
"Elementary and Middle School Teachers","state21","50000",53777.66268,17808347.6907429,"Paid"
"Elementary and Middle School Teachers","state47","52000",78772.04436,25265422.0712571,"Paid"
"Elementary and Middle School Teachers","state01","50000",52105.9201,18018024.9183429,"Paid"
"Elementary and Middle School Teachers","state28","44000",33841.96098,11709963.7085143,"Paid"
"Elementary and Middle School Teachers","state05","50000",31139.16082,10335807.1508571,"Paid"
"Elementary and Middle School Teachers","state22","47000",49483.38928,16759429.5764571,"Paid"
"Elementary and Middle School Teachers","state40","45000",46942.55688,16434077.1504,"Paid"
"Elementary and Middle School Teachers","state48","55000",369259.30776,130343866.310571,"Paid"
"Elementary and Middle School Teachers","state30","47000",9302.04166,2991655.65548571,"Paid"
"Elementary and Middle School Teachers","state16","46000",20631.98356,6576989.37634286,"Paid"
"Elementary and Middle School Teachers","state56","54000",7067.16528,2311229.15845714,"Paid"
"Elementary and Middle School Teachers","state08","47000",58315.61286,19664887.1933143,"Paid"
"Elementary and Middle School Teachers","state35","50000",25256.97978,8559358.98377143,"Paid"
"Elementary and Middle School Teachers","state04","50000",76749.0422,25201132.1907429,"Paid"
"Elementary and Middle School Teachers","state49","52019",36159.14744,11499610.7298857,"Paid"
"Elementary and Middle School Teachers","state32","52000",33896.2335,11247775.9083429,"Paid"
"Elementary and Middle School Teachers","state53","68000",90560.83562,30554443.9872,"Paid"
"Elementary and Middle School Teachers","state41","55000",31962.36198,10138889.8532571,"Paid"
"Elementary and Middle School Teachers","state06","68000",359282.05772,119873336.600229,"Paid"
"Elementary and Middle School Teachers","state02","63000",6581.64462,2082701.244,"Paid"
"Elementary and Middle School Teachers","state15","55000",14649.16724,4489998.27291429,"Paid"
"Food Managers","state23","40000",4926.00978,1889611.56874286,"Paid"
"Food Managers","state33","69000",6270.96638,2315512.93971429,"Paid"
"Food Managers","state50","50000",2295.38604,927486.507428571,"Paid"
"Food Managers","state25","55000",28869.31316,9944288.4264,"Paid"
"Food Managers","state44","50000",4840.8243,1774216.55742857,"Paid"
"Food Managers","state09","35000",7575.4756,2258210.23114286,"Paid"
"Food Managers","state36","39000",58821.2447,21551253.2360571,"Paid"
"Food Managers","state34","55000",21411.29568,7732486.07125714,"Paid"
"Food Managers","state42","50000",54473.18528,18155512.0371429,"Paid"
"Food Managers","state39","38000",42997.46978,13708390.5042857,"Paid"
"Food Managers","state18","35000",34106.99354,9961253.12228571,"Paid"
"Food Managers","state17","36000",46282.06656,16239459.5833714,"Paid"
"Food Managers","state26","30000",33977.83148,11428671.0726857,"Paid"
"Food Managers","state55","45000",12340.26106,3331254.95982857,"Paid"
"Food Managers","state27","43000",14332.99806,4758596.71714286,"Paid"
"Food Managers","state19","35000",16784.33874,6737613.8484,"Paid"
"Food Managers","state29","37000",25475.90608,9192181.82554286,"Paid"
"Food Managers","state38","40000",2591.01198,859091.890285714,"Paid"
"Food Managers","state46","40000",3316.39252,1190492.24177143,"Paid"
"Food Managers","state31","35000",9625.16716,3387883.45302857,"Paid"
"Food Managers","state20","37000",11345.93716,3931894.27971429,"Paid"
"Food Managers","state10","48001",5188.91302,1535345.53422857,"Paid"
"Food Managers","state24","42000",21723.29934,8088428.30057143,"Paid"
"Food Managers","state11","40000",2334.89216,791146.490228571,"Paid"
"Food Managers","state51","40000",40735.42286,12366839.1257143,"Paid"
"Food Managers","state54","28800",2807.61816,875105.126057143,"Paid"
"Food Managers","state37","40000",34022.18008,11360420.3005714,"Paid"
"Food Managers","state45","55000",22596.32976,7973047.98857143,"Paid"
"Food Managers","state13","45000",50213.79608,17915651.2981714,"Paid"
"Food Managers","state12","50000",94178.42488,30143072.6873143,"Paid"
"Food Managers","state21","50000",13930.29262,4715127.24205714,"Paid"
"Food Managers","state47","40000",34151.32994,13027692.2117143,"Paid"
"Food Managers","state01","40000",22736.58264,8516238.29211429,"Paid"
"Food Managers","state28","30000",14757.89252,5512170.438,"Paid"
"Food Managers","state05","50000",13560.06476,4556715.22354286,"Paid"
"Food Managers","state22","36000",21346.27032,7182805.69405714,"Paid"
"Food Managers","state40","45000",21587.64966,6673186.12491429,"Paid"
"Food Managers","state48","43000",130390.5402,44943016.8901714,"Paid"
"Food Managers","state30","39000",6192.6431,1787307.23057143,"Paid"
"Food Managers","state16","42000",9513.12884,3320130.84068571,"Paid"
"Food Managers","state56","46000",3227.26058,1144334.71148571,"Paid"
"Food Managers","state08","40000",22916.18208,7417315.44805714,"Paid"
"Food Managers","state35","27000",7133.63514,2616104.14697143,"Paid"
"Food Managers","state04","43110",19879.44998,6553739.80114286,"Paid"
"Food Managers","state49","31680",8950.42702,2610272.16942857,"Paid"
"Food Managers","state32","49500",15698.78194,5429340.87,"Paid"
"Food Managers","state53","45000",26158.53488,8593277.43737143,"Paid"
"Food Managers","state41","35000",17686.74016,5673578.76788571,"Paid"
"Food Managers","state06","48100",127194.39346,45380106.0384,"Paid"
"Food Managers","state02","43000",1852.22248,714009.809828571,"Paid"
"Food Managers","state15","60000",6164.1039,1861117.2492,"Paid"
"Food Preparation Workers","state23","23009",13145.50016,3327713.18057143,"Paid"
"Food Preparation Workers","state33","14000",7775.69212,1912516.58657143,"Paid"
"Food Preparation Workers","state50","21000",3467.17704,812781.468342857,"Paid"
"Food Preparation Workers","state25","15310",42671.11046,8776135.56874286,"Paid"
"Food Preparation Workers","state44","24960",6214.51518,1665947.00537143,"Paid"
"Food Preparation Workers","state09","22000",17428.66424,3999121.80342857,"Paid"
"Food Preparation Workers","state36","25000",127555.05336,34799132.6550857,"Paid"
"Food Preparation Workers","state34","26000",53446.28318,14069896.6073143,"Paid"
"Food Preparation Workers","state42","21000",90779.31692,22532645.0876571,"Paid"
"Food Preparation Workers","state39","20000",99860.06644,24694325.7241714,"Paid"
"Food Preparation Workers","state18","19000",48861.4091,12874348.2828,"Paid"
"Food Preparation Workers","state17","16000",85182.07672,19988803.6481143,"Paid"
"Food Preparation Workers","state26","20000",75453.05532,19132066.2718286,"Paid"
"Food Preparation Workers","state55","21000",41279.00592,10753329.3171429,"Paid"
"Food Preparation Workers","state27","20000",25947.8375,6508843.33834286,"Paid"
"Food Preparation Workers","state19","18500",22459.13942,5559321.42977143,"Paid"
"Food Preparation Workers","state29","17000",30439.0086,7722648.13182857,"Paid"
"Food Preparation Workers","state38","22000",4658.90654,1281688.1604,"Paid"
"Food Preparation Workers","state46","15000",6197.87036,1662173.16565714,"Paid"
"Food Preparation Workers","state31","18000",13633.7467,3625716.87805714,"Paid"
"Food Preparation Workers","state20","23000",19264.49316,5238622.17257143,"Paid"
"Food Preparation Workers","state10","25000",4539.34646,1153395.28971429,"Paid"
"Food Preparation Workers","state24","21840",40058.6966,11202465.3954857,"Paid"
"Food Preparation Workers","state11","25000",1964.19692,498690.992228571,"Paid"
"Food Preparation Workers","state51","25000",53401.46322,13832351.4795429,"Paid"
"Food Preparation Workers","state54","19000",11221.62684,2854992.32468571,"Paid"
"Food Preparation Workers","state37","20000",69688.044,17927123.5781143,"Paid"
"Food Preparation Workers","state45","18000",25979.81276,7337333.42691429,"Paid"
"Food Preparation Workers","state13","15000",50563.81582,12781998.6411429,"Paid"
"Food Preparation Workers","state12","24000",155928.6827,45527908.7252571,"Paid"
"Food Preparation Workers","state21","21000",22675.52054,6426230.74045714,"Paid"
"Food Preparation Workers","state47","20000",38441.72772,11106543.9963429,"Paid"
"Food Preparation Workers","state01","24000",25232.35812,8022634.17102857,"Paid"
"Food Preparation Workers","state28","17000",17210.46296,5033925.99702857,"Paid"
"Food Preparation Workers","state05","20000",18728.60906,5109945.18702857,"Paid"
"Food Preparation Workers","state22","18000",31588.73942,8400162.21514286,"Paid"
"Food Preparation Workers","state40","20000",27018.77636,7440113.51297143,"Paid"
"Food Preparation Workers","state48","20000",210369.27056,58852694.2897714,"Paid"
"Food Preparation Workers","state30","16000",7038.97056,1783626.12342857,"Paid"
"Food Preparation Workers","state16","14000",17158.40824,4102930.59428571,"Paid"
"Food Preparation Workers","state56","20000",4595.89688,1151759.83217143,"Paid"
"Food Preparation Workers","state08","19916",40217.98548,9940879.3416,"Paid"
"Food Preparation Workers","state35","17000",13185.40218,3363194.93725714,"Paid"
"Food Preparation Workers","state04","21600",53825.07792,14578145.1065143,"Paid"
"Food Preparation Workers","state49","19000",23274.09998,5730068.2152,"Paid"
